epoch,selected_frac,func_repl_frac,zero_frac
0,0.7806,0.000122,0.0039
100,0.7834,0.956360,0.0222
200,0.7754,0.971863,0.0187
300,0.7809,0.974731,0.0181
400,0.7806,0.978455,0.0149
500,0.7795,0.981995,0.0141
600,0.7827,0.982056,0.0124
700,0.7827,0.985168,0.0123
800,0.7767,0.987000,0.0109
900,0.7784,0.986694,0.0108
1000,0.7770,0.986084,0.0099
1100,0.7782,0.987915,0.0100
1200,0.7820,0.988342,0.0097
1300,0.7783,0.988892,0.0074
1400,0.7837,0.988281,0.0068
1500,0.7788,0.988647,0.0068
1600,0.7836,0.988037,0.0061
1700,0.7770,0.989380,0.0061
1800,0.7822,0.988159,0.0068
1900,0.7795,0.989502,0.0062
2000,0.7793,0.989258,0.0068
2100,0.7816,0.990417,0.0073
