epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7800,0.0117,0.0090,0.0027,0.0071,0.0071,0.0049,0,473.0,0.0879,1.0000,0.0443
400,0.7820,0.9966,0.9966,0.0000,0.9709,0.9709,0.9841,1,45.3,0.9937,0.9961,0.5378
800,0.7771,0.9973,0.9973,0.0005,0.9194,0.9194,0.9873,1,44.8,0.9924,1.0000,0.4544
1200,0.7809,0.9985,0.9985,0.0000,0.9307,0.9304,0.9880,1,44.1,0.9954,1.0000,0.3744
1600,0.7793,0.9980,0.9980,0.0020,0.9114,0.9114,0.9858,1,46.5,0.9949,1.0000,0.3270
2000,0.7762,0.9976,0.9976,0.0000,0.8315,0.8315,0.9858,1,44.0,0.9932,0.9980,0.2873
2400,0.7803,0.9971,0.9971,0.0000,0.7351,0.7351,0.9873,1,43.6,0.9915,0.9980,0.2529
2800,0.7792,0.9978,0.9978,0.0005,0.5039,0.5039,0.9841,1,38.7,0.9932,1.0000,0.2207
3200,0.7748,0.9990,0.9990,0.0046,0.2993,0.2991,0.9878,1,33.6,0.9937,0.9980,0.1863
3600,0.7753,0.9978,0.9978,0.0000,0.1665,0.1665,0.9851,1,32.4,0.9932,1.0000,0.1574
4000,0.7786,0.9980,0.9980,0.0024,0.1123,0.1123,0.9878,1,29.3,0.9961,1.0000,0.1315
4400,0.7837,0.9985,0.9985,0.0005,0.0513,0.0513,0.9885,1,28.5,0.9954,1.0000,0.1195
4800,0.7787,0.9985,0.9985,0.0020,0.0220,0.0220,0.9929,1,26.4,0.9978,1.0000,0.1094
5200,0.7745,0.9961,0.9961,0.0002,0.0635,0.0635,0.9829,1,30.9,0.9919,1.0000,0.0994
5600,0.7841,0.9961,0.9961,0.0010,0.0498,0.0498,0.9871,1,28.4,0.9946,1.0000,0.0848
6000,0.7766,0.9980,0.9980,0.0012,0.0410,0.0410,0.9888,1,26.7,0.9973,1.0000,0.0767
6400,0.7820,0.9966,0.9966,0.0010,0.0515,0.0515,0.9839,1,30.6,0.9910,1.0000,0.0726
6800,0.7793,0.9951,0.9951,0.0017,0.0310,0.0310,0.9834,1,28.1,0.9934,1.0000,0.0749
7200,0.7791,0.9968,0.9968,0.0007,0.0508,0.0508,0.9878,1,28.4,0.9937,1.0000,0.0838
7600,0.7792,0.9976,0.9976,0.0002,0.0444,0.0444,0.9849,1,27.8,0.9961,1.0000,0.0767
8000,0.7792,0.9983,0.9983,0.0005,0.0444,0.0444,0.9907,1,28.2,0.9966,1.0000,0.0799
