epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7800,0.5273,0.4604,0.1169,0.0068,0.0068,0.0051,0,47.6,0.9421,1.0000,0.0118
50,0.7806,0.8271,0.8159,0.0142,0.7375,0.7375,0.7288,1,113.4,0.9814,0.9121,0.3859
100,0.7742,0.9927,0.9924,0.0024,0.9639,0.9639,0.9778,1,132.6,0.9983,0.9414,0.4709
150,0.7781,0.9941,0.9937,0.0063,0.9624,0.9624,0.9775,1,135.2,0.9941,0.9805,0.4599
200,0.7819,0.9939,0.9934,0.0107,0.9639,0.9639,0.9768,1,132.4,0.9966,0.9922,0.4518
250,0.7781,0.9932,0.9932,0.0117,0.9417,0.9417,0.9736,1,132.6,0.9966,0.9941,0.4398
300,0.7814,0.9961,0.9958,0.0105,0.9341,0.9341,0.9766,1,131.7,0.9956,0.9980,0.4271
350,0.7794,0.9949,0.9949,0.0100,0.9255,0.9243,0.9788,1,130.8,0.9968,0.9980,0.4170
400,0.7820,0.9924,0.9924,0.0105,0.9141,0.9131,0.9763,1,130.5,0.9971,0.9961,0.4059
450,0.7814,0.9949,0.9946,0.0164,0.8752,0.8735,0.9778,1,127.3,0.9973,0.9980,0.3976
500,0.7780,0.9951,0.9949,0.0190,0.8372,0.8323,0.9778,1,125.9,0.9946,0.9980,0.3840
550,0.7787,0.9949,0.9949,0.0320,0.7944,0.7903,0.9792,1,121.8,0.9978,1.0000,0.3743
600,0.7810,0.9934,0.9929,0.0330,0.7336,0.7292,0.9773,1,119.8,0.9958,1.0000,0.3677
650,0.7830,0.9956,0.9951,0.0410,0.6492,0.6482,0.9822,1,113.1,0.9966,0.9980,0.3600
700,0.7758,0.9917,0.9907,0.0447,0.5461,0.5449,0.9697,1,106.7,0.9961,0.9980,0.3517
750,0.7754,0.9968,0.9961,0.0432,0.4688,0.4680,0.9812,1,101.8,0.9958,0.9980,0.3428
800,0.7771,0.9946,0.9944,0.0720,0.3625,0.3625,0.9771,1,93.7,0.9968,0.9961,0.3297
850,0.7811,0.9917,0.9915,0.0703,0.3311,0.3311,0.9773,1,92.1,0.9968,1.0000,0.3179
900,0.7776,0.9937,0.9937,0.0681,0.2646,0.2644,0.9810,1,88.5,0.9958,0.9961,0.2906
950,0.7848,0.9917,0.9915,0.0571,0.2007,0.2007,0.9756,1,83.1,0.9978,1.0000,0.2739
1000,0.7800,0.9927,0.9927,0.0469,0.1414,0.1414,0.9802,1,78.6,0.9985,0.9980,0.2526
1050,0.7786,0.9929,0.9927,0.0276,0.1196,0.1194,0.9783,1,78.1,0.9976,0.9980,0.2463
1100,0.7734,0.9949,0.9944,0.0159,0.0796,0.0796,0.9802,1,75.9,0.9976,0.9980,0.2363
1150,0.7839,0.9961,0.9958,0.0146,0.0635,0.0630,0.9829,1,73.2,0.9983,1.0000,0.2344
1200,0.7809,0.9958,0.9956,0.0107,0.0513,0.0503,0.9778,1,73.6,0.9971,1.0000,0.2232
1250,0.7739,0.9949,0.9946,0.0107,0.0334,0.0332,0.9778,1,71.9,0.9966,0.9980,0.2142
1300,0.7759,0.9932,0.9927,0.0095,0.0212,0.0212,0.9788,1,71.3,0.9968,0.9980,0.2062
1350,0.7812,0.9946,0.9944,0.0127,0.0176,0.0173,0.9763,1,71.3,0.9985,1.0000,0.1922
1400,0.7787,0.9929,0.9929,0.0100,0.0098,0.0098,0.9795,1,71.6,0.9961,1.0000,0.1811
