epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7800,0.0117,0.0090,0.0027,0.0073,0.0071,0.0049,0,472.9,0.0876,1.0000,0.0438
20,0.7837,0.0750,0.0747,0.0002,0.0750,0.0740,0.0698,0,447.0,0.1406,0.9961,0.3123
40,0.7765,0.4792,0.4792,0.0000,0.4744,0.4744,0.4612,1,255.2,0.5444,0.9434,0.4904
60,0.7784,0.9658,0.9658,0.0000,0.9609,0.9609,0.9521,1,54.4,0.9719,0.8652,0.6212
80,0.7800,0.9954,0.9954,0.0000,0.9861,0.9858,0.9873,1,43.9,0.9954,0.8887,0.6164
100,0.7742,0.9971,0.9971,0.0000,0.9893,0.9893,0.9844,1,46.2,0.9907,0.9258,0.6104
120,0.7770,0.9973,0.9973,0.0000,0.9902,0.9900,0.9873,1,46.3,0.9912,0.9727,0.6046
140,0.7786,0.9983,0.9983,0.0000,0.9875,0.9873,0.9844,1,45.8,0.9922,0.9727,0.5984
160,0.7823,0.9968,0.9968,0.0000,0.9907,0.9907,0.9856,1,44.9,0.9946,0.9766,0.5946
180,0.7806,0.9978,0.9978,0.0000,0.9856,0.9856,0.9849,1,46.4,0.9922,0.9961,0.5890
200,0.7819,0.9983,0.9983,0.0000,0.9834,0.9834,0.9871,1,45.3,0.9937,0.9941,0.5841
220,0.7770,0.9971,0.9971,0.0000,0.9827,0.9827,0.9863,1,44.5,0.9951,0.9961,0.5771
240,0.7788,0.9961,0.9961,0.0000,0.9800,0.9800,0.9866,1,45.2,0.9949,0.9941,0.5717
260,0.7758,0.9988,0.9988,0.0000,0.9851,0.9844,0.9858,1,45.0,0.9929,1.0000,0.5646
280,0.7805,0.9973,0.9973,0.0000,0.9805,0.9802,0.9890,1,45.1,0.9946,0.9961,0.5603
300,0.7814,0.9985,0.9985,0.0002,0.9768,0.9768,0.9873,1,45.9,0.9932,0.9980,0.5554
320,0.7770,0.9976,0.9976,0.0000,0.9800,0.9800,0.9812,1,46.9,0.9905,1.0000,0.5499
340,0.7808,0.9971,0.9971,0.0002,0.9697,0.9692,0.9814,1,46.6,0.9917,1.0000,0.5433
360,0.7772,0.9978,0.9978,0.0000,0.9719,0.9719,0.9866,1,46.5,0.9927,0.9980,0.5352
380,0.7780,0.9988,0.9988,0.0002,0.9653,0.9653,0.9871,1,45.8,0.9937,1.0000,0.5273
400,0.7820,0.9980,0.9980,0.0000,0.9614,0.9614,0.9846,1,45.2,0.9937,1.0000,0.5214
420,0.7850,0.9978,0.9978,0.0000,0.9551,0.9548,0.9868,1,45.3,0.9929,0.9922,0.5168
440,0.7794,0.9978,0.9978,0.0000,0.9509,0.9509,0.9893,1,45.0,0.9932,1.0000,0.5124
460,0.7820,0.9988,0.9988,0.0000,0.9509,0.9509,0.9883,1,45.4,0.9924,1.0000,0.5073
480,0.7814,0.9978,0.9978,0.0000,0.9512,0.9512,0.9902,1,44.2,0.9951,1.0000,0.5020
500,0.7780,0.9973,0.9973,0.0000,0.9583,0.9583,0.9868,1,45.9,0.9922,1.0000,0.4923
520,0.7798,0.9973,0.9973,0.0000,0.9568,0.9568,0.9868,1,45.6,0.9934,1.0000,0.4885
