epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7775,0.4822,0.4246,0.1062,0.0000,0.0000,0.0000,0,44.6,0.9458,1.0000,0.0137
2000,0.7830,0.1150,0.0815,0.0366,0.0000,0.0000,0.0000,0,23.0,0.9709,1.0000,0.0800
4000,0.7769,0.1201,0.0859,0.0398,0.0000,0.0000,0.0000,0,22.4,0.9702,1.0000,0.0792
6000,0.7793,0.1238,0.0874,0.0420,0.0000,0.0000,0.0000,0,20.3,0.9741,1.0000,0.0791
8000,0.7827,0.1128,0.0828,0.0337,0.0000,0.0000,0.0000,0,24.1,0.9673,1.0000,0.0798
10000,0.7764,0.1199,0.0862,0.0381,0.0000,0.0000,0.0000,0,24.2,0.9656,1.0000,0.0799
12000,0.7787,0.1240,0.0894,0.0420,0.0000,0.0000,0.0000,0,22.5,0.9700,1.0000,0.0767
14000,0.7804,0.1169,0.0889,0.0320,0.0000,0.0000,0.0000,0,22.1,0.9697,0.9980,0.0781
16000,0.7803,0.1194,0.0815,0.0408,0.0000,0.0000,0.0000,0,22.1,0.9695,1.0000,0.0770
18000,0.7784,0.1189,0.0862,0.0374,0.0000,0.0000,0.0000,0,22.4,0.9702,1.0000,0.0792
20000,0.7777,0.1230,0.0903,0.0369,0.0000,0.0000,0.0000,0,23.2,0.9680,1.0000,0.0832
22000,0.7778,0.1189,0.0879,0.0344,0.0000,0.0000,0.0000,0,23.9,0.9673,1.0000,0.0778
24000,0.7798,0.1206,0.0911,0.0332,0.0000,0.0000,0.0000,0,19.8,0.9746,1.0000,0.0791
26000,0.7728,0.1169,0.0854,0.0383,0.0000,0.0000,0.0000,0,24.1,0.9670,1.0000,0.0804
28000,0.7810,0.1174,0.0879,0.0352,0.0000,0.0000,0.0000,0,20.6,0.9734,1.0000,0.0796
30000,0.7773,0.1143,0.0830,0.0366,0.0000,0.0000,0.0000,0,24.6,0.9668,1.0000,0.0789
32000,0.7793,0.1133,0.0793,0.0374,0.0000,0.0000,0.0000,0,23.2,0.9692,1.0000,0.0803
34000,0.7805,0.1223,0.0876,0.0371,0.0000,0.0000,0.0000,0,23.6,0.9695,1.0000,0.0796
36000,0.7811,0.1204,0.0872,0.0391,0.0000,0.0000,0.0000,0,24.3,0.9678,1.0000,0.0792
38000,0.7780,0.1184,0.0874,0.0364,0.0000,0.0000,0.0000,0,22.0,0.9714,1.0000,0.0782
40000,0.7789,0.1125,0.0828,0.0334,0.0000,0.0000,0.0000,0,27.7,0.9600,1.0000,0.0777
42000,0.7755,0.1140,0.0771,0.0405,0.0000,0.0000,0.0000,0,24.0,0.9683,1.0000,0.0764
44000,0.7758,0.1248,0.0876,0.0410,0.0000,0.0000,0.0000,0,22.1,0.9707,1.0000,0.0791
46000,0.7778,0.1201,0.0901,0.0322,0.0000,0.0000,0.0000,0,21.9,0.9719,1.0000,0.0794
48000,0.7819,0.1228,0.0842,0.0435,0.0000,0.0000,0.0000,0,21.7,0.9709,1.0000,0.0781
50000,0.7756,0.1172,0.0869,0.0347,0.0000,0.0000,0.0000,0,22.7,0.9688,1.0000,0.0802
52000,0.7761,0.1201,0.0945,0.0298,0.0000,0.0000,0.0000,0,24.5,0.9668,1.0000,0.0807
54000,0.7803,0.1248,0.0898,0.0396,0.0000,0.0000,0.0000,0,23.1,0.9695,1.0000,0.0762
56000,0.7777,0.1147,0.0823,0.0396,0.0000,0.0000,0.0000,0,24.5,0.9644,1.0000,0.0784
58000,0.7726,0.1235,0.0889,0.0408,0.0000,0.0000,0.0000,0,19.2,0.9771,1.0000,0.0756
60000,0.7797,0.1216,0.0850,0.0398,0.0000,0.0000,0.0000,0,23.5,0.9683,1.0000,0.0764
62000,0.7808,0.1187,0.0837,0.0376,0.0000,0.0000,0.0000,0,23.6,0.9675,1.0000,0.0760
64000,0.7778,0.1252,0.0928,0.0369,0.0000,0.0000,0.0000,0,22.6,0.9697,1.0000,0.0801
66000,0.7771,0.1255,0.0908,0.0393,0.0000,0.0000,0.0000,0,23.2,0.9683,1.0000,0.0802
68000,0.7815,0.1194,0.0852,0.0386,0.0000,0.0000,0.0000,0,23.8,0.9656,1.0000,0.0796
70000,0.7793,0.1226,0.0857,0.0439,0.0000,0.0000,0.0000,0,24.2,0.9656,1.0000,0.0784
72000,0.7799,0.1152,0.0852,0.0339,0.0000,0.0000,0.0000,0,23.8,0.9683,1.0000,0.0831
74000,0.7787,0.1118,0.0828,0.0332,0.0000,0.0000,0.0000,0,27.7,0.9604,1.0000,0.0790
76000,0.7809,0.1208,0.0857,0.0383,0.0000,0.0000,0.0000,0,22.4,0.9690,1.0000,0.0784
78000,0.7799,0.1257,0.0850,0.0444,0.0000,0.0000,0.0000,0,20.7,0.9744,1.0000,0.0805
80000,0.7799,0.1147,0.0776,0.0422,0.0000,0.0000,0.0000,0,20.8,0.9736,1.0000,0.0803
82000,0.7792,0.1128,0.0815,0.0339,0.0000,0.0000,0.0000,0,26.0,0.9631,1.0000,0.0778
84000,0.7810,0.1177,0.0813,0.0403,0.0000,0.0000,0.0000,0,23.4,0.9683,1.0000,0.0776
86000,0.7778,0.1248,0.0938,0.0361,0.0000,0.0000,0.0000,0,22.1,0.9702,1.0000,0.0798
88000,0.7762,0.1174,0.0823,0.0415,0.0000,0.0000,0.0000,0,21.5,0.9702,1.0000,0.0801
90000,0.7802,0.1177,0.0869,0.0339,0.0000,0.0000,0.0000,0,24.3,0.9695,1.0000,0.0785
92000,0.7781,0.1060,0.0754,0.0339,0.0000,0.0000,0.0000,0,25.4,0.9646,1.0000,0.0772
94000,0.7803,0.1152,0.0847,0.0347,0.0000,0.0000,0.0000,0,20.8,0.9734,1.0000,0.0786
96000,0.7804,0.1309,0.1001,0.0342,0.0000,0.0000,0.0000,0,21.9,0.9714,0.9980,0.0762
98000,0.7782,0.1145,0.0796,0.0403,0.0000,0.0000,0.0000,0,22.0,0.9700,1.0000,0.0795
100000,0.7814,0.1167,0.0833,0.0359,0.0000,0.0000,0.0000,0,23.2,0.9697,0.9980,0.0754
102000,0.7792,0.1184,0.0833,0.0391,0.0000,0.0000,0.0000,0,24.4,0.9666,1.0000,0.0786
104000,0.7819,0.1145,0.0872,0.0320,0.0000,0.0000,0.0000,0,25.6,0.9639,1.0000,0.0791
106000,0.7799,0.1157,0.0874,0.0320,0.0000,0.0000,0.0000,0,23.0,0.9692,1.0000,0.0791
108000,0.7793,0.1050,0.0740,0.0342,0.0000,0.0000,0.0000,0,22.0,0.9702,1.0000,0.0771
110000,0.7791,0.1248,0.0925,0.0383,0.0000,0.0000,0.0000,0,23.7,0.9683,1.0000,0.0797
112000,0.7742,0.1155,0.0825,0.0393,0.0000,0.0000,0.0000,0,22.9,0.9714,1.0000,0.0787
114000,0.7812,0.1191,0.0828,0.0405,0.0000,0.0000,0.0000,0,23.4,0.9675,1.0000,0.0786
116000,0.7811,0.1287,0.0947,0.0386,0.0000,0.0000,0.0000,0,23.4,0.9680,1.0000,0.0798
118000,0.7806,0.1199,0.0830,0.0425,0.0000,0.0000,0.0000,0,23.5,0.9680,1.0000,0.0766
120000,0.7819,0.1213,0.0852,0.0391,0.0000,0.0000,0.0000,0,21.9,0.9712,1.0000,0.0801
122000,0.7838,0.1260,0.0884,0.0422,0.0000,0.0000,0.0000,0,23.4,0.9690,1.0000,0.0795
124000,0.7865,0.1086,0.0752,0.0383,0.0000,0.0000,0.0000,0,20.6,0.9729,1.0000,0.0824
126000,0.7812,0.1116,0.0796,0.0374,0.0000,0.0000,0.0000,0,22.1,0.9702,1.0000,0.0806
128000,0.7826,0.1257,0.0891,0.0400,0.0000,0.0000,0.0000,0,22.6,0.9692,1.0000,0.0809
130000,0.7804,0.1157,0.0850,0.0354,0.0000,0.0000,0.0000,0,23.6,0.9680,1.0000,0.0802
132000,0.7858,0.1226,0.0879,0.0356,0.0000,0.0000,0.0000,0,24.2,0.9678,1.0000,0.0768
134000,0.7769,0.1179,0.0811,0.0410,0.0000,0.0000,0.0000,0,25.3,0.9644,1.0000,0.0783
136000,0.7811,0.1106,0.0842,0.0320,0.0000,0.0000,0.0000,0,23.4,0.9680,1.0000,0.0787
138000,0.7839,0.1169,0.0857,0.0344,0.0000,0.0000,0.0000,0,23.1,0.9702,1.0000,0.0796
140000,0.7814,0.1211,0.0845,0.0439,0.0000,0.0000,0.0000,0,22.0,0.9707,1.0000,0.0767
142000,0.7809,0.1184,0.0891,0.0344,0.0000,0.0000,0.0000,0,23.3,0.9680,1.0000,0.0805
144000,0.7789,0.1216,0.0842,0.0408,0.0000,0.0000,0.0000,0,23.0,0.9692,1.0000,0.0784
146000,0.7780,0.1162,0.0859,0.0344,0.0000,0.0000,0.0000,0,21.3,0.9707,1.0000,0.0809
148000,0.7756,0.1238,0.0850,0.0447,0.0000,0.0000,0.0000,0,22.6,0.9695,1.0000,0.0800
150000,0.7822,0.1228,0.0923,0.0347,0.0000,0.0000,0.0000,0,25.7,0.9656,1.0000,0.0766
152000,0.7755,0.1260,0.0945,0.0371,0.0000,0.0000,0.0000,0,23.9,0.9658,1.0000,0.0790
154000,0.7798,0.1150,0.0835,0.0361,0.0000,0.0000,0.0000,0,22.2,0.9707,1.0000,0.0769
156000,0.7784,0.1165,0.0825,0.0369,0.0000,0.0000,0.0000,0,22.9,0.9678,1.0000,0.0777
158000,0.7769,0.1206,0.0835,0.0417,0.0000,0.0000,0.0000,0,22.9,0.9685,1.0000,0.0765
160000,0.7828,0.1250,0.0896,0.0393,0.0000,0.0000,0.0000,0,22.3,0.9714,1.0000,0.0776
162000,0.7809,0.1196,0.0854,0.0403,0.0000,0.0000,0.0000,0,22.7,0.9688,1.0000,0.0791
