epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.4990,0.4387,0.1086,0.0000,0.0000,0.0000,0,41.7,0.9534,1.0000,0.0141
2000,0.7811,0.1045,0.0754,0.0325,0.0000,0.0000,0.0000,0,22.4,0.9700,1.0000,0.0854
4000,0.7794,0.1003,0.0701,0.0334,0.0000,0.0000,0.0000,0,20.1,0.9724,1.0000,0.0834
6000,0.7775,0.1094,0.0747,0.0405,0.0000,0.0000,0.0000,0,20.8,0.9712,0.9980,0.0814
8000,0.7844,0.1052,0.0747,0.0332,0.0000,0.0000,0.0000,0,21.2,0.9712,1.0000,0.0842
10000,0.7816,0.1047,0.0713,0.0352,0.0000,0.0000,0.0000,0,20.8,0.9712,1.0000,0.0814
12000,0.7823,0.1057,0.0686,0.0405,0.0000,0.0000,0.0000,0,23.5,0.9663,1.0000,0.0846
14000,0.7820,0.1060,0.0728,0.0366,0.0000,0.0000,0.0000,0,21.3,0.9702,1.0000,0.0831
16000,0.7747,0.1047,0.0706,0.0386,0.0000,0.0000,0.0000,0,21.5,0.9709,1.0000,0.0810
18000,0.7792,0.1033,0.0723,0.0354,0.0000,0.0000,0.0000,0,19.7,0.9741,1.0000,0.0850
20000,0.7748,0.1094,0.0745,0.0386,0.0000,0.0000,0.0000,0,23.9,0.9646,0.9980,0.0804
22000,0.7825,0.1104,0.0771,0.0374,0.0000,0.0000,0.0000,0,20.2,0.9727,1.0000,0.0834
24000,0.7806,0.1079,0.0764,0.0361,0.0000,0.0000,0.0000,0,22.3,0.9690,1.0000,0.0830
26000,0.7772,0.1025,0.0740,0.0327,0.0000,0.0000,0.0000,0,22.8,0.9683,1.0000,0.0862
28000,0.7830,0.0977,0.0686,0.0327,0.0000,0.0000,0.0000,0,22.8,0.9683,1.0000,0.0849
30000,0.7784,0.1052,0.0757,0.0344,0.0000,0.0000,0.0000,0,22.6,0.9692,1.0000,0.0815
32000,0.7754,0.1067,0.0754,0.0349,0.0000,0.0000,0.0000,0,22.4,0.9690,1.0000,0.0827
34000,0.7783,0.1106,0.0793,0.0366,0.0000,0.0000,0.0000,0,23.6,0.9666,1.0000,0.0820
36000,0.7828,0.0964,0.0728,0.0264,0.0000,0.0000,0.0000,0,22.3,0.9688,1.0000,0.0831
38000,0.7776,0.1011,0.0737,0.0315,0.0000,0.0000,0.0000,0,23.9,0.9675,1.0000,0.0849
40000,0.7789,0.1052,0.0735,0.0354,0.0000,0.0000,0.0000,0,19.7,0.9749,1.0000,0.0827
42000,0.7815,0.1194,0.0845,0.0378,0.0000,0.0000,0.0000,0,21.7,0.9697,1.0000,0.0842
44000,0.7759,0.1023,0.0679,0.0376,0.0000,0.0000,0.0000,0,22.4,0.9680,1.0000,0.0843
46000,0.7766,0.1008,0.0735,0.0310,0.0000,0.0000,0.0000,0,22.5,0.9680,1.0000,0.0840
48000,0.7808,0.1052,0.0745,0.0337,0.0000,0.0000,0.0000,0,21.7,0.9695,1.0000,0.0851
50000,0.7784,0.1013,0.0688,0.0347,0.0000,0.0000,0.0000,0,20.7,0.9727,1.0000,0.0809
52000,0.7817,0.1089,0.0759,0.0374,0.0000,0.0000,0.0000,0,22.7,0.9690,1.0000,0.0826
54000,0.7748,0.1106,0.0781,0.0366,0.0000,0.0000,0.0000,0,22.2,0.9697,1.0000,0.0838
56000,0.7725,0.1013,0.0732,0.0322,0.0000,0.0000,0.0000,0,20.8,0.9717,1.0000,0.0830
58000,0.7799,0.1047,0.0710,0.0361,0.0000,0.0000,0.0000,0,20.1,0.9731,1.0000,0.0859
60000,0.7784,0.1096,0.0806,0.0347,0.0000,0.0000,0.0000,0,21.6,0.9707,1.0000,0.0859
62000,0.7787,0.0984,0.0720,0.0315,0.0000,0.0000,0.0000,0,23.0,0.9688,1.0000,0.0861
64000,0.7775,0.1091,0.0781,0.0349,0.0000,0.0000,0.0000,0,22.0,0.9690,1.0000,0.0839
66000,0.7798,0.1116,0.0754,0.0403,0.0000,0.0000,0.0000,0,20.8,0.9712,1.0000,0.0826
68000,0.7812,0.1091,0.0750,0.0378,0.0000,0.0000,0.0000,0,23.2,0.9678,1.0000,0.0836
70000,0.7799,0.1040,0.0703,0.0413,0.0000,0.0000,0.0000,0,22.6,0.9675,1.0000,0.0847
72000,0.7778,0.0991,0.0698,0.0334,0.0000,0.0000,0.0000,0,23.6,0.9666,1.0000,0.0822
74000,0.7808,0.1023,0.0742,0.0305,0.0000,0.0000,0.0000,0,22.8,0.9678,1.0000,0.0823
76000,0.7820,0.1096,0.0745,0.0371,0.0000,0.0000,0.0000,0,20.5,0.9729,1.0000,0.0821
78000,0.7788,0.0996,0.0688,0.0332,0.0000,0.0000,0.0000,0,19.2,0.9758,1.0000,0.0809
80000,0.7799,0.0999,0.0657,0.0366,0.0000,0.0000,0.0000,0,20.0,0.9741,1.0000,0.0844
82000,0.7799,0.0986,0.0688,0.0332,0.0000,0.0000,0.0000,0,21.2,0.9707,1.0000,0.0821
84000,0.7760,0.1160,0.0830,0.0376,0.0000,0.0000,0.0000,0,20.3,0.9722,0.9980,0.0851
86000,0.7806,0.1123,0.0779,0.0364,0.0000,0.0000,0.0000,0,22.1,0.9700,1.0000,0.0860
88000,0.7844,0.1060,0.0752,0.0354,0.0000,0.0000,0.0000,0,18.4,0.9780,1.0000,0.0828
90000,0.7783,0.1003,0.0679,0.0354,0.0000,0.0000,0.0000,0,21.2,0.9717,1.0000,0.0848
92000,0.7762,0.1135,0.0857,0.0325,0.0000,0.0000,0.0000,0,19.9,0.9722,1.0000,0.0833
