epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.0034,0.0017,0.0017,0.0000,0.0000,0.0000,0,477.4,0.0767,1.0000,0.0327
200,0.7793,0.6270,0.0000,0.6270,0.4500,0.4495,0.0000,0,497.0,0.0310,0.7852,0.1674
400,0.7792,0.8931,0.0000,0.8931,0.4316,0.4292,0.0000,0,499.9,0.0244,0.7188,0.0615
600,0.7804,0.9192,0.0000,0.9192,0.3779,0.3730,0.0000,0,495.3,0.0344,0.7930,0.0567
800,0.7810,0.8811,0.0000,0.8811,0.2854,0.2844,0.0000,0,494.1,0.0374,0.9082,0.0975
1000,0.7788,0.8694,0.0000,0.8694,0.1787,0.1777,0.0000,0,488.1,0.0500,0.9668,0.1347
1200,0.7764,0.8247,0.0000,0.8247,0.1255,0.1245,0.0000,0,491.4,0.0435,0.9766,0.1614
1400,0.7762,0.8059,0.0000,0.8059,0.1084,0.1067,0.0000,0,492.5,0.0425,0.9902,0.1761
1600,0.7806,0.8152,0.0000,0.8152,0.1345,0.1335,0.0000,0,497.5,0.0308,0.9844,0.1692
1800,0.7836,0.8242,0.0000,0.8242,0.1235,0.1223,0.0000,0,498.7,0.0295,0.9844,0.1670
2000,0.7811,0.8262,0.0000,0.8262,0.1335,0.1321,0.0000,0,501.7,0.0237,0.9941,0.1509
2200,0.7780,0.8025,0.0000,0.8025,0.1257,0.1243,0.0000,0,499.8,0.0269,0.9922,0.1667
2400,0.7765,0.8015,0.0000,0.8015,0.1306,0.1294,0.0000,0,500.3,0.0278,0.9824,0.1687
2600,0.7786,0.8193,0.0000,0.8193,0.1201,0.1191,0.0000,0,500.5,0.0271,0.9883,0.1634
2800,0.7832,0.8135,0.0000,0.8135,0.1182,0.1172,0.0000,0,498.1,0.0300,0.9941,0.1647
3000,0.7756,0.8062,0.0000,0.8062,0.1201,0.1189,0.0000,0,500.9,0.0273,0.9863,0.1579
3200,0.7784,0.8181,0.0000,0.8181,0.1299,0.1294,0.0000,0,501.4,0.0254,0.9883,0.1526
3400,0.7745,0.8179,0.0000,0.8179,0.1177,0.1167,0.0000,0,500.1,0.0288,0.9902,0.1541
3600,0.7761,0.8250,0.0000,0.8250,0.1382,0.1377,0.0000,0,500.1,0.0266,0.9863,0.1463
3800,0.7747,0.8303,0.0002,0.8303,0.1128,0.1116,0.0000,0,501.8,0.0259,0.9863,0.1418
4000,0.7794,0.8228,0.0000,0.8228,0.1292,0.1284,0.0000,0,498.6,0.0312,0.9824,0.1345
4200,0.7798,0.8301,0.0000,0.8301,0.1289,0.1284,0.0000,0,500.7,0.0261,0.9844,0.1426
4400,0.7816,0.8403,0.0000,0.8403,0.1355,0.1353,0.0000,0,501.9,0.0251,0.9922,0.1372
4600,0.7811,0.8325,0.0000,0.8325,0.1299,0.1294,0.0000,0,500.0,0.0278,0.9844,0.1416
4800,0.7727,0.8167,0.0000,0.8167,0.1204,0.1199,0.0000,0,503.0,0.0210,0.9902,0.1495
5000,0.7783,0.8333,0.0000,0.8333,0.1235,0.1218,0.0000,0,501.2,0.0261,0.9766,0.1311
5200,0.7808,0.8303,0.0000,0.8303,0.1230,0.1228,0.0000,0,502.4,0.0237,0.9902,0.1387
5400,0.7808,0.8440,0.0000,0.8440,0.1184,0.1177,0.0000,0,502.5,0.0212,0.9883,0.1205
5600,0.7805,0.8352,0.0000,0.8352,0.1199,0.1199,0.0000,0,498.8,0.0312,0.9883,0.1346
5800,0.7777,0.8315,0.0000,0.8315,0.1255,0.1243,0.0000,0,502.5,0.0217,0.9824,0.1388
6000,0.7775,0.8442,0.0000,0.8442,0.1204,0.1196,0.0000,0,499.6,0.0291,0.9824,0.1330
6200,0.7738,0.8467,0.0000,0.8467,0.1499,0.1494,0.0000,0,499.2,0.0303,0.9668,0.1346
6400,0.7812,0.8347,0.0000,0.8347,0.1389,0.1377,0.0000,0,502.3,0.0227,0.9863,0.1270
6600,0.7773,0.8469,0.0000,0.8469,0.1304,0.1294,0.0000,0,498.0,0.0322,0.9902,0.1218
6800,0.7792,0.8496,0.0000,0.8496,0.1360,0.1353,0.0000,0,500.6,0.0264,0.9922,0.1257
7000,0.7784,0.8232,0.0000,0.8232,0.1204,0.1199,0.0000,0,497.1,0.0342,0.9844,0.1412
7200,0.7777,0.8474,0.0000,0.8474,0.1375,0.1370,0.0000,0,497.7,0.0322,0.9785,0.1214
7400,0.7799,0.8420,0.0000,0.8420,0.1357,0.1348,0.0000,0,498.3,0.0300,0.9824,0.1331
7600,0.7799,0.8450,0.0000,0.8450,0.1384,0.1377,0.0000,0,499.4,0.0291,0.9844,0.1210
7800,0.7833,0.8525,0.0000,0.8525,0.1416,0.1409,0.0000,0,499.6,0.0291,0.9883,0.1190
8000,0.7844,0.8523,0.0000,0.8523,0.1252,0.1245,0.0000,0,503.4,0.0203,0.9785,0.1213
8200,0.7816,0.8364,0.0000,0.8364,0.1255,0.1248,0.0000,0,499.8,0.0308,0.9824,0.1264
8400,0.7771,0.8484,0.0000,0.8484,0.1321,0.1318,0.0000,0,501.3,0.0266,0.9785,0.1234
8600,0.7791,0.8313,0.0000,0.8313,0.1338,0.1338,0.0000,0,500.1,0.0266,0.9883,0.1232
8800,0.7753,0.8367,0.0000,0.8367,0.1252,0.1243,0.0000,0,501.3,0.0244,0.9902,0.1258
9000,0.7719,0.8396,0.0000,0.8396,0.1328,0.1313,0.0000,0,500.4,0.0264,0.9766,0.1237
9200,0.7859,0.8391,0.0000,0.8391,0.1274,0.1270,0.0000,0,503.0,0.0210,0.9941,0.1304
9400,0.7817,0.8496,0.0000,0.8496,0.1306,0.1301,0.0000,0,502.1,0.0239,0.9844,0.1191
9600,0.7792,0.8408,0.0000,0.8408,0.1306,0.1301,0.0000,0,500.3,0.0264,0.9824,0.1248
9800,0.7781,0.8557,0.0000,0.8557,0.1306,0.1299,0.0000,0,498.7,0.0315,0.9922,0.1257
10000,0.7816,0.8425,0.0000,0.8425,0.1194,0.1184,0.0000,0,500.9,0.0254,0.9805,0.1244
