epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7806,0.0029,0.0012,0.0017,0.0000,0.0000,0.0000,0,475.7,0.0813,1.0000,0.0409
25,0.7748,0.0015,0.0005,0.0010,0.0015,0.0000,0.0000,0,487.1,0.0542,0.9980,0.2972
50,0.7748,0.0022,0.0002,0.0020,0.0024,0.0007,0.0000,0,488.2,0.0522,0.9961,0.3351
75,0.7764,0.0017,0.0000,0.0017,0.0039,0.0015,0.0000,0,486.7,0.0574,0.9980,0.3572
100,0.7834,0.0103,0.0000,0.0103,0.0120,0.0088,0.0000,0,487.5,0.0530,0.9961,0.3597
125,0.7781,0.0381,0.0000,0.0381,0.0322,0.0315,0.0000,0,486.9,0.0542,0.9980,0.3563
150,0.7815,0.1072,0.0000,0.1072,0.0874,0.0864,0.0000,0,489.0,0.0488,0.9961,0.3444
175,0.7800,0.2412,0.0000,0.2412,0.1965,0.1958,0.0000,0,490.5,0.0481,0.9688,0.3028
200,0.7754,0.5408,0.0000,0.5408,0.4236,0.4233,0.0000,0,494.4,0.0371,0.8496,0.2036
225,0.7853,0.7871,0.0005,0.7871,0.6304,0.6299,0.0000,0,497.5,0.0295,0.6270,0.1019
250,0.7806,0.8452,0.0000,0.8452,0.6484,0.6482,0.0000,0,497.2,0.0300,0.6074,0.0676
275,0.7794,0.8684,0.0002,0.8684,0.6267,0.6267,0.0000,0,495.0,0.0352,0.6133,0.0531
300,0.7809,0.8291,0.0002,0.8291,0.5527,0.5527,0.0000,0,498.9,0.0264,0.6465,0.0698
325,0.7799,0.8008,0.0002,0.8008,0.4934,0.4929,0.0000,0,496.8,0.0315,0.7793,0.0744
350,0.7773,0.7627,0.0000,0.7627,0.4373,0.4373,0.0000,0,493.0,0.0386,0.7910,0.0837
375,0.7836,0.7109,0.0000,0.7109,0.3906,0.3906,0.0000,0,498.7,0.0278,0.8711,0.0971
400,0.7806,0.6807,0.0000,0.6807,0.3528,0.3528,0.0000,0,494.3,0.0376,0.8848,0.0981
425,0.7771,0.6587,0.0000,0.6587,0.3022,0.3022,0.0000,0,496.4,0.0320,0.9121,0.1041
450,0.7778,0.6287,0.0000,0.6287,0.2751,0.2747,0.0000,0,497.0,0.0312,0.9238,0.1140
475,0.7788,0.5874,0.0005,0.5874,0.2568,0.2568,0.0000,0,495.8,0.0339,0.9473,0.1204
500,0.7795,0.5725,0.0000,0.5725,0.2346,0.2341,0.0000,0,494.6,0.0371,0.9551,0.1244
525,0.7710,0.5449,0.0000,0.5449,0.2273,0.2273,0.0000,0,496.0,0.0347,0.9609,0.1280
550,0.7766,0.5259,0.0002,0.5259,0.2073,0.2070,0.0000,0,495.8,0.0339,0.9512,0.1296
575,0.7766,0.5083,0.0000,0.5083,0.1941,0.1941,0.0000,0,495.2,0.0371,0.9688,0.1268
600,0.7827,0.5151,0.0000,0.5151,0.1926,0.1926,0.0000,0,496.2,0.0339,0.9766,0.1318
625,0.7816,0.5264,0.0002,0.5264,0.2063,0.2056,0.0000,0,496.5,0.0334,0.9648,0.1319
650,0.7798,0.5305,0.0000,0.5305,0.1899,0.1892,0.0000,0,492.5,0.0415,0.9668,0.1317
675,0.7769,0.5305,0.0002,0.5305,0.2031,0.2031,0.0000,0,494.6,0.0361,0.9590,0.1333
700,0.7827,0.4983,0.0000,0.4983,0.1726,0.1724,0.0000,0,492.7,0.0410,0.9551,0.1366
725,0.7814,0.5100,0.0000,0.5100,0.1882,0.1882,0.0000,0,492.7,0.0415,0.9473,0.1304
750,0.7780,0.5369,0.0000,0.5369,0.1865,0.1865,0.0000,0,494.2,0.0391,0.9727,0.1312
775,0.7788,0.5193,0.0000,0.5193,0.2002,0.2002,0.0000,0,492.0,0.0435,0.9629,0.1368
800,0.7767,0.5439,0.0000,0.5439,0.2073,0.2073,0.0000,0,494.1,0.0393,0.9531,0.1266
825,0.7745,0.5430,0.0000,0.5430,0.1963,0.1963,0.0000,0,493.4,0.0391,0.9453,0.1305
850,0.7832,0.5295,0.0000,0.5295,0.1931,0.1931,0.0000,0,494.4,0.0383,0.9629,0.1379
875,0.7804,0.5303,0.0002,0.5300,0.1914,0.1912,0.0000,0,495.9,0.0352,0.9473,0.1393
900,0.7784,0.5288,0.0000,0.5288,0.1880,0.1880,0.0000,0,494.9,0.0383,0.9746,0.1316
925,0.7744,0.5354,0.0002,0.5352,0.1963,0.1963,0.0000,0,494.8,0.0381,0.9746,0.1346
950,0.7849,0.5422,0.0000,0.5422,0.1875,0.1873,0.0000,0,492.1,0.0422,0.9668,0.1346
975,0.7780,0.5330,0.0000,0.5330,0.1814,0.1814,0.0000,0,495.1,0.0366,0.9766,0.1291
1000,0.7770,0.5447,0.0000,0.5447,0.1848,0.1848,0.0000,0,491.9,0.0432,0.9746,0.1345
1025,0.7773,0.5625,0.0000,0.5625,0.2129,0.2129,0.0000,0,493.5,0.0400,0.9688,0.1242
1050,0.7812,0.5549,0.0000,0.5549,0.1912,0.1912,0.0000,0,493.7,0.0400,0.9531,0.1276
1075,0.7751,0.5637,0.0000,0.5637,0.1870,0.1865,0.0000,0,492.2,0.0435,0.9590,0.1294
1100,0.7782,0.5708,0.0000,0.5708,0.2075,0.2068,0.0000,0,490.3,0.0486,0.9609,0.1216
