nb,g,lstar,minbytes,N,func_count,density
8,32,2,2,1000000000,922334614,9.223346e-01
8,16,3,3,1000000000,618065060,6.180651e-01
8,8,5,5,1000000000,124950142,1.249501e-01
8,4,9,9,1000000000,1888672,1.888672e-03
8,2,17,17,1000000000,38,3.800000e-08
5,32,2,2,1000000000,992671076,9.926711e-01
5,16,3,3,1000000000,850300268,8.503003e-01
5,8,5,5,1000000000,261139567,2.611396e-01
5,4,9,9,1000000000,9358570,9.358570e-03
5,2,17,17,1000000000,4931,4.931000e-06
6,32,2,2,1000000000,979247358,9.792474e-01
6,16,3,3,1000000000,775808628,7.758086e-01
6,8,5,5,1000000000,205470670,2.054707e-01
6,4,9,9,1000000000,5741314,5.741314e-03
6,2,17,17,1000000000,1055,1.055000e-06
