epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7861,0.000000,0.0039,0.005981,5.221,22
100,0.7770,0.000000,0.0039,0.005432,5.220,24
200,0.7777,0.000000,0.0039,0.005127,5.208,24
300,0.7803,0.000000,0.0039,0.005127,5.215,22
400,0.7811,0.000000,0.0039,0.005432,5.205,22
500,0.7815,0.000000,0.0039,0.005066,5.193,20
600,0.7754,0.000000,0.0039,0.004883,5.213,22
700,0.7731,0.000000,0.0039,0.005615,5.211,22
800,0.7762,0.000000,0.0040,0.006104,5.212,22
900,0.7821,0.000000,0.0039,0.005615,5.211,24
1000,0.7749,0.000000,0.0039,0.005554,5.200,22
1100,0.7842,0.000000,0.0040,0.005737,5.207,22
1200,0.7758,0.000000,0.0040,0.005798,5.233,22
1300,0.7781,0.000000,0.0040,0.005798,5.228,22
1400,0.7825,0.000000,0.0040,0.005981,5.222,22
1500,0.7817,0.000000,0.0040,0.005859,5.205,24
1600,0.7803,0.000000,0.0040,0.006165,5.192,24
1700,0.7802,0.000000,0.0040,0.006409,5.192,23
1800,0.7806,0.000000,0.0039,0.006409,5.190,24
1900,0.7839,0.000000,0.0040,0.005798,5.196,22
2000,0.7750,0.000000,0.0039,0.005859,5.202,24
2100,0.7825,0.000000,0.0040,0.006165,5.196,22
2200,0.7744,0.000000,0.0040,0.006165,5.197,24
2300,0.7811,0.000000,0.0040,0.006409,5.196,24
2400,0.7771,0.000000,0.0040,0.006714,5.213,24
2500,0.7756,0.000000,0.0040,0.006653,5.215,24
2600,0.7805,0.000000,0.0039,0.006836,5.227,24
2700,0.7742,0.000000,0.0039,0.006348,5.234,24
2800,0.7823,0.000000,0.0039,0.006348,5.226,22
2900,0.7776,0.000000,0.0039,0.006409,5.219,22
3000,0.7770,0.000000,0.0039,0.006409,5.213,24
3100,0.7775,0.000000,0.0038,0.006409,5.223,24
3200,0.7776,0.000000,0.0038,0.006104,5.226,22
3300,0.7823,0.000000,0.0038,0.005981,5.229,22
3400,0.7728,0.000000,0.0038,0.005859,5.218,22
3500,0.7750,0.000000,0.0038,0.006165,5.220,22
3600,0.7769,0.000000,0.0038,0.005737,5.213,22
3700,0.7858,0.000000,0.0039,0.005432,5.206,22
3800,0.7788,0.000000,0.0039,0.004578,5.186,23
3900,0.7788,0.000000,0.0039,0.005310,5.193,23
4000,0.7765,0.000000,0.0039,0.004822,5.203,23
4100,0.7809,0.000000,0.0039,0.005127,5.210,23
4200,0.7811,0.000000,0.0039,0.004822,5.196,23
4300,0.7820,0.000000,0.0040,0.004822,5.203,23
4400,0.7815,0.000000,0.0040,0.004639,5.201,26
4500,0.7815,0.000000,0.0040,0.004517,5.206,24
4600,0.7769,0.000000,0.0040,0.004333,5.204,22
4700,0.7811,0.000000,0.0039,0.004883,5.200,22
4800,0.7762,0.000000,0.0039,0.005310,5.196,22
4900,0.7797,0.000000,0.0039,0.005310,5.211,21
5000,0.7792,0.000000,0.0039,0.005371,5.200,22
5100,0.7821,0.000000,0.0039,0.005066,5.212,22
5200,0.7843,0.000000,0.0039,0.005737,5.196,22
5300,0.7816,0.000000,0.0039,0.005249,5.216,22
5400,0.7764,0.000000,0.0039,0.005066,5.214,24
5500,0.7773,0.000000,0.0039,0.005554,5.224,26
5600,0.7836,0.000000,0.0039,0.006042,5.231,22
5700,0.7733,0.000000,0.0039,0.006287,5.229,22
5800,0.7766,0.000000,0.0039,0.005371,5.226,24
5900,0.7798,0.000000,0.0040,0.004639,5.230,24
6000,0.7802,0.000000,0.0040,0.004822,5.221,24
6100,0.7834,0.000000,0.0040,0.005249,5.226,22
6200,0.7815,0.000000,0.0040,0.005310,5.224,22
6300,0.7782,0.000000,0.0040,0.005310,5.221,22
6400,0.7808,0.000000,0.0040,0.005981,5.233,22
6500,0.7754,0.000000,0.0040,0.005493,5.219,24
6600,0.7834,0.000000,0.0040,0.004761,5.216,24
6700,0.7791,0.000000,0.0040,0.004883,5.228,24
6800,0.7773,0.000000,0.0040,0.004639,5.239,24
6900,0.7793,0.000000,0.0040,0.004639,5.237,26
7000,0.7753,0.000000,0.0040,0.005310,5.225,26
7100,0.7848,0.000000,0.0039,0.004944,5.233,28
7200,0.7803,0.000000,0.0039,0.005981,5.225,28
7300,0.7820,0.000000,0.0039,0.006714,5.229,28
7400,0.7802,0.000000,0.0040,0.006470,5.233,28
7500,0.7811,0.000061,0.0039,0.006348,5.248,30
7600,0.7771,0.000000,0.0039,0.007263,5.253,26
7700,0.7762,0.000000,0.0040,0.006165,5.236,26
7800,0.7826,0.000000,0.0040,0.005859,5.232,26
7900,0.7838,0.000000,0.0040,0.005310,5.228,26
8000,0.7753,0.000000,0.0039,0.005432,5.227,26
8100,0.7826,0.000000,0.0039,0.005859,5.230,28
8200,0.7765,0.000000,0.0040,0.005432,5.214,26
8300,0.7795,0.000000,0.0039,0.005249,5.204,24
8400,0.7812,0.000000,0.0039,0.005432,5.193,24
8500,0.7820,0.000000,0.0040,0.005615,5.193,24
8600,0.7819,0.000000,0.0040,0.006409,5.205,22
8700,0.7760,0.000000,0.0040,0.006470,5.195,26
8800,0.7866,0.000000,0.0040,0.005981,5.197,22
8900,0.7788,0.000000,0.0040,0.005676,5.205,22
9000,0.7804,0.000000,0.0040,0.006409,5.217,22
9100,0.7812,0.000000,0.0040,0.006226,5.220,22
9200,0.7723,0.000000,0.0040,0.005981,5.233,24
9300,0.7806,0.000000,0.0040,0.005188,5.220,24
9400,0.7782,0.000000,0.0041,0.005493,5.225,26
9500,0.7822,0.000000,0.0040,0.005981,5.235,26
9600,0.7808,0.000000,0.0040,0.006287,5.231,26
9700,0.7754,0.000000,0.0040,0.005737,5.216,28
9800,0.7837,0.000000,0.0040,0.006165,5.219,24
9900,0.7809,0.000000,0.0039,0.005737,5.207,26
10000,0.7754,0.000000,0.0040,0.006226,5.217,26
10100,0.7805,0.000000,0.0040,0.005859,5.214,26
10200,0.7819,0.000000,0.0039,0.005615,5.208,26
10300,0.7742,0.000000,0.0039,0.005798,5.194,26
10400,0.7826,0.000000,0.0039,0.005371,5.191,23
10500,0.7816,0.000000,0.0039,0.005493,5.202,22
10600,0.7767,0.000000,0.0039,0.005676,5.210,26
