epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7804,0.000000,0.0037,0.005615,5.350,20
20,0.7786,0.001221,0.0040,0.051514,6.999,32
40,0.7793,0.030029,0.0034,0.323975,12.987,32
60,0.7790,0.226807,0.0032,0.655029,23.271,32
80,0.7812,0.584961,0.0025,0.404297,28.454,32
100,0.7796,0.739014,0.0026,0.258301,29.729,32
120,0.7797,0.795654,0.0023,0.201660,30.220,32
140,0.7806,0.820312,0.0024,0.178467,30.463,32
160,0.7799,0.820312,0.0022,0.179443,30.497,32
180,0.7786,0.824951,0.0020,0.173340,30.509,32
200,0.7800,0.823730,0.0022,0.175293,30.486,32
220,0.7797,0.822510,0.0019,0.176514,30.490,32
240,0.7806,0.823975,0.0021,0.173828,30.449,32
260,0.7813,0.822266,0.0021,0.176270,30.462,32
280,0.7787,0.814941,0.0024,0.181885,30.410,32
300,0.7782,0.818115,0.0024,0.180420,30.440,32
320,0.7782,0.818359,0.0021,0.180176,30.451,32
340,0.7792,0.806396,0.0020,0.192627,30.338,32
360,0.7805,0.813721,0.0018,0.185059,30.417,32
380,0.7786,0.804199,0.0021,0.195068,30.323,32
400,0.7790,0.814453,0.0020,0.185059,30.408,32
420,0.7794,0.821045,0.0019,0.178955,30.476,32
440,0.7819,0.805420,0.0021,0.193848,30.388,32
460,0.7800,0.800293,0.0024,0.199463,30.311,32
480,0.7805,0.787598,0.0023,0.210693,30.213,32
500,0.7783,0.799072,0.0022,0.199463,30.302,32
520,0.7785,0.802979,0.0024,0.196045,30.361,32
540,0.7810,0.781738,0.0024,0.216797,30.150,32
560,0.7780,0.781006,0.0023,0.218018,30.233,32
580,0.7809,0.772949,0.0021,0.225586,30.130,32
600,0.7790,0.771729,0.0021,0.227539,30.178,32
620,0.7795,0.779541,0.0020,0.219482,30.212,32
640,0.7800,0.767578,0.0023,0.230957,30.112,32
660,0.7784,0.770020,0.0020,0.229004,30.123,32
680,0.7800,0.753906,0.0022,0.245117,30.012,32
700,0.7742,0.748047,0.0020,0.251709,30.061,32
720,0.7792,0.759033,0.0019,0.239746,30.102,32
740,0.7805,0.746582,0.0020,0.252686,30.028,32
760,0.7798,0.737793,0.0019,0.260986,29.945,32
780,0.7800,0.740723,0.0018,0.258545,29.992,32
800,0.7811,0.725098,0.0021,0.273682,29.902,32
820,0.7808,0.709229,0.0018,0.289062,29.799,32
840,0.7787,0.692627,0.0016,0.306396,29.724,32
860,0.7788,0.698242,0.0018,0.301514,29.764,32
