epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7806,0.000000,0.0039,0.005371,5.200,24
100,0.7834,0.000000,0.0040,0.005615,5.221,24
200,0.7754,0.000000,0.0040,0.005249,5.215,22
300,0.7809,0.000000,0.0039,0.005432,5.205,24
400,0.7806,0.000000,0.0039,0.005676,5.213,22
500,0.7795,0.000000,0.0039,0.006165,5.223,22
600,0.7827,0.000000,0.0039,0.005066,5.213,22
700,0.7827,0.000000,0.0040,0.005310,5.216,22
800,0.7767,0.000000,0.0039,0.005127,5.204,24
900,0.7784,0.000000,0.0039,0.005859,5.201,24
1000,0.7770,0.000000,0.0038,0.005737,5.200,22
1100,0.7782,0.000000,0.0038,0.006409,5.201,22
1200,0.7820,0.000000,0.0038,0.006409,5.200,22
1300,0.7783,0.000000,0.0038,0.005798,5.206,22
1400,0.7837,0.000000,0.0038,0.006287,5.202,24
1500,0.7788,0.000000,0.0039,0.005920,5.187,24
1600,0.7836,0.000000,0.0039,0.006348,5.205,22
1700,0.7770,0.000000,0.0038,0.005432,5.206,20
1800,0.7822,0.000000,0.0039,0.005005,5.206,22
1900,0.7795,0.000000,0.0039,0.005005,5.205,24
2000,0.7793,0.000000,0.0040,0.005798,5.216,22
2100,0.7816,0.000000,0.0040,0.006042,5.212,25
2200,0.7823,0.000000,0.0040,0.006104,5.206,24
2300,0.7816,0.000000,0.0040,0.005188,5.208,24
2400,0.7755,0.000000,0.0040,0.005066,5.180,24
2500,0.7770,0.000000,0.0039,0.005676,5.170,22
2600,0.7792,0.000000,0.0040,0.006897,5.195,22
2700,0.7782,0.000000,0.0039,0.007202,5.190,24
2800,0.7793,0.000000,0.0040,0.006287,5.208,24
2900,0.7781,0.000000,0.0039,0.006165,5.205,22
3000,0.7811,0.000000,0.0039,0.006409,5.212,22
3100,0.7821,0.000000,0.0038,0.006287,5.216,24
3200,0.7803,0.000000,0.0038,0.007019,5.228,22
3300,0.7799,0.000000,0.0038,0.007019,5.223,24
3400,0.7804,0.000000,0.0039,0.007019,5.209,24
3500,0.7759,0.000000,0.0039,0.006348,5.198,22
3600,0.7833,0.000000,0.0039,0.006775,5.203,22
3700,0.7821,0.000000,0.0038,0.006836,5.196,24
3800,0.7855,0.000000,0.0038,0.005432,5.183,20
3900,0.7803,0.000000,0.0037,0.005737,5.173,22
4000,0.7775,0.000000,0.0037,0.005066,5.180,24
4100,0.7773,0.000000,0.0037,0.004944,5.192,22
4200,0.7773,0.000000,0.0037,0.004883,5.194,24
4300,0.7819,0.000000,0.0038,0.004822,5.193,22
4400,0.7794,0.000000,0.0038,0.005249,5.196,24
4500,0.7776,0.000000,0.0039,0.005310,5.181,24
4600,0.7776,0.000000,0.0039,0.005798,5.199,22
4700,0.7753,0.000000,0.0038,0.005920,5.194,22
4800,0.7755,0.000000,0.0039,0.005737,5.204,24
4900,0.7822,0.000000,0.0038,0.005798,5.210,22
5000,0.7719,0.000000,0.0038,0.006104,5.193,22
5100,0.7849,0.000000,0.0037,0.006348,5.184,24
5200,0.7766,0.000000,0.0037,0.005066,5.177,24
5300,0.7811,0.000000,0.0037,0.005249,5.170,24
5400,0.7760,0.000000,0.0037,0.005005,5.166,24
5500,0.7793,0.000000,0.0037,0.005676,5.174,26
5600,0.7784,0.000000,0.0037,0.006165,5.199,24
5700,0.7826,0.000000,0.0038,0.006104,5.214,24
5800,0.7721,0.000000,0.0038,0.006104,5.197,22
5900,0.7795,0.000000,0.0038,0.006653,5.208,22
6000,0.7847,0.000000,0.0038,0.006897,5.218,26
6100,0.7788,0.000000,0.0038,0.006165,5.223,24
6200,0.7769,0.000000,0.0038,0.006165,5.202,26
6300,0.7753,0.000000,0.0038,0.006592,5.204,26
6400,0.7809,0.000000,0.0038,0.007263,5.197,24
6500,0.7745,0.000000,0.0037,0.006409,5.184,24
6600,0.7826,0.000000,0.0037,0.007080,5.210,24
6700,0.7828,0.000000,0.0037,0.006165,5.204,25
6800,0.7776,0.000000,0.0037,0.006409,5.196,24
6900,0.7836,0.000000,0.0037,0.005615,5.196,26
7000,0.7762,0.000000,0.0037,0.005920,5.193,28
7100,0.7781,0.000000,0.0038,0.006348,5.190,22
7200,0.7823,0.000000,0.0038,0.006287,5.177,22
7300,0.7776,0.000000,0.0037,0.005188,5.188,22
7400,0.7784,0.000000,0.0038,0.004822,5.186,22
7500,0.7769,0.000000,0.0037,0.004211,5.185,24
7600,0.7791,0.000000,0.0037,0.004883,5.206,26
7700,0.7800,0.000000,0.0038,0.005554,5.197,24
7800,0.7799,0.000000,0.0038,0.005798,5.205,23
7900,0.7776,0.000000,0.0038,0.005615,5.192,24
8000,0.7788,0.000000,0.0038,0.004822,5.193,24
8100,0.7786,0.000000,0.0038,0.005249,5.208,24
8200,0.7777,0.000000,0.0038,0.005127,5.190,24
8300,0.7805,0.000000,0.0038,0.005066,5.201,24
8400,0.7756,0.000000,0.0039,0.004822,5.199,24
8500,0.7759,0.000000,0.0039,0.005310,5.196,22
8600,0.7822,0.000000,0.0039,0.005249,5.176,22
8700,0.7831,0.000000,0.0039,0.005615,5.163,22
8800,0.7798,0.000000,0.0039,0.005371,5.167,22
8900,0.7786,0.000000,0.0039,0.005127,5.147,25
9000,0.7745,0.000000,0.0039,0.005310,5.166,28
9100,0.7731,0.000000,0.0040,0.005737,5.176,25
9200,0.7743,0.000000,0.0040,0.005615,5.185,25
9300,0.7786,0.000000,0.0040,0.005920,5.176,24
9400,0.7797,0.000000,0.0040,0.005859,5.180,22
9500,0.7850,0.000000,0.0040,0.005371,5.195,22
9600,0.7863,0.000000,0.0040,0.005737,5.203,24
9700,0.7754,0.000000,0.0040,0.006287,5.217,24
9800,0.7775,0.000000,0.0041,0.006287,5.218,28
9900,0.7804,0.000000,0.0040,0.005310,5.193,22
10000,0.7827,0.000000,0.0040,0.005676,5.203,22
10100,0.7841,0.000000,0.0040,0.006531,5.203,26
10200,0.7808,0.000000,0.0039,0.006042,5.183,24
10300,0.7859,0.000000,0.0039,0.005310,5.192,22
10400,0.7797,0.000000,0.0038,0.005859,5.201,22
10500,0.7811,0.000000,0.0039,0.005310,5.201,22
10600,0.7852,0.000000,0.0038,0.005920,5.188,22
10700,0.7802,0.000000,0.0038,0.004517,5.182,24
10800,0.7709,0.000000,0.0039,0.005615,5.186,24
10900,0.7787,0.000000,0.0039,0.006897,5.211,24
11000,0.7805,0.000000,0.0039,0.006592,5.197,28
