epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7767,0.000000,0.0039,0.006592,5.234,24
20,0.7784,0.000244,0.0037,0.060608,7.022,32
40,0.7781,0.016296,0.0034,0.349060,12.792,32
60,0.7794,0.186157,0.0026,0.691956,22.726,32
80,0.7808,0.556458,0.0021,0.435730,28.232,32
100,0.7791,0.725525,0.0020,0.272461,29.634,32
120,0.7762,0.784241,0.0020,0.214844,30.109,32
140,0.7794,0.805542,0.0022,0.193237,30.231,32
160,0.7776,0.811584,0.0021,0.187012,30.285,32
180,0.7776,0.817688,0.0023,0.181213,30.324,32
200,0.7793,0.833069,0.0022,0.165955,30.389,32
220,0.7792,0.823242,0.0026,0.176025,30.312,32
240,0.7816,0.825623,0.0026,0.173584,30.292,32
260,0.7825,0.842041,0.0028,0.157166,30.423,32
280,0.7787,0.840393,0.0029,0.159058,30.490,32
300,0.7764,0.842590,0.0026,0.156921,30.526,32
320,0.7794,0.840698,0.0024,0.158691,30.518,32
340,0.7791,0.851379,0.0023,0.147766,30.612,32
360,0.7805,0.846802,0.0023,0.152588,30.573,32
380,0.7804,0.850220,0.0021,0.148865,30.643,32
400,0.7792,0.861145,0.0023,0.137939,30.686,32
420,0.7771,0.855957,0.0023,0.143127,30.702,32
440,0.7794,0.868958,0.0024,0.130554,30.796,32
460,0.7804,0.867554,0.0023,0.132080,30.753,32
480,0.7747,0.868042,0.0022,0.131348,30.761,32
500,0.7784,0.868713,0.0017,0.130615,30.786,32
520,0.7753,0.870178,0.0020,0.129089,30.791,32
540,0.7794,0.866882,0.0018,0.132568,30.739,32
560,0.7845,0.853699,0.0018,0.145752,30.674,32
580,0.7784,0.832703,0.0019,0.166626,30.518,32
600,0.7804,0.839905,0.0020,0.159668,30.545,32
620,0.7815,0.833008,0.0022,0.166260,30.462,32
640,0.7803,0.836914,0.0022,0.162598,30.492,32
660,0.7816,0.833801,0.0022,0.165833,30.427,32
680,0.7834,0.830627,0.0019,0.168945,30.386,32
700,0.7781,0.836121,0.0019,0.163208,30.450,32
720,0.7772,0.832764,0.0019,0.166748,30.468,32
740,0.7786,0.826660,0.0019,0.172668,30.423,32
760,0.7764,0.832092,0.0017,0.167480,30.469,32
780,0.7822,0.830505,0.0018,0.168945,30.409,32
800,0.7810,0.826538,0.0018,0.173096,30.403,32
820,0.7848,0.814514,0.0020,0.185059,30.292,32
840,0.7817,0.799927,0.0020,0.199463,30.190,32
860,0.7825,0.793701,0.0019,0.205627,30.145,32
