epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7786,0.0037,0.0015,0.0022,0.0007,0.0000,0.0002,0,474.0,0.0845,1.0000,0.0400
200,0.7793,0.6392,0.0002,0.6389,0.4565,0.4551,0.0002,0,494.9,0.0356,0.9160,0.1624
400,0.7791,0.9260,0.0000,0.9260,0.7029,0.7014,0.0002,0,498.7,0.0264,0.7715,0.0516
600,0.7790,0.9197,0.0000,0.9197,0.6663,0.6648,0.0000,0,495.5,0.0334,0.7734,0.0594
800,0.7793,0.8945,0.0000,0.8945,0.5444,0.5435,0.0000,0,493.7,0.0376,0.8340,0.0846
1000,0.7792,0.8435,0.0000,0.8435,0.2546,0.2537,0.0000,0,489.4,0.0476,0.9746,0.1439
1200,0.7798,0.8123,0.0000,0.8123,0.2078,0.2075,0.0000,0,492.1,0.0425,0.9922,0.1685
1400,0.7797,0.8279,0.0000,0.8279,0.2231,0.2219,0.0000,0,494.4,0.0393,0.9727,0.1671
1600,0.7793,0.8372,0.0000,0.8372,0.2202,0.2202,0.0000,0,495.6,0.0356,0.9590,0.1619
1800,0.7796,0.8411,0.0002,0.8411,0.2246,0.2241,0.0000,0,497.9,0.0312,0.9629,0.1510
2000,0.7799,0.8352,0.0000,0.8352,0.2212,0.2209,0.0000,0,494.6,0.0376,0.9766,0.1477
2200,0.7799,0.8411,0.0000,0.8411,0.2112,0.2102,0.0000,0,496.0,0.0344,0.9746,0.1431
2400,0.7792,0.8521,0.0000,0.8521,0.2063,0.2063,0.0000,0,494.9,0.0354,0.9863,0.1370
2600,0.7790,0.8376,0.0000,0.8376,0.1946,0.1946,0.0000,0,494.0,0.0381,0.9844,0.1439
2800,0.7799,0.8250,0.0000,0.8250,0.1829,0.1826,0.0000,0,496.6,0.0325,0.9863,0.1513
3000,0.7801,0.8066,0.0000,0.8066,0.2034,0.2034,0.0000,0,498.7,0.0286,0.9844,0.1555
3200,0.7792,0.8142,0.0000,0.8142,0.2290,0.2288,0.0002,0,499.2,0.0278,0.9707,0.1546
3400,0.7796,0.8228,0.0000,0.8228,0.2566,0.2559,0.0000,0,500.1,0.0251,0.9668,0.1552
3600,0.7797,0.8191,0.0000,0.8191,0.2417,0.2417,0.0000,0,498.8,0.0281,0.9766,0.1587
3800,0.7793,0.8245,0.0000,0.8245,0.2271,0.2266,0.0000,0,500.4,0.0261,0.9805,0.1599
4000,0.7798,0.8137,0.0000,0.8137,0.2217,0.2217,0.0000,0,499.5,0.0273,0.9863,0.1644
4200,0.7794,0.8281,0.0000,0.8281,0.2136,0.2136,0.0000,0,499.5,0.0266,0.9785,0.1571
4400,0.7786,0.8274,0.0000,0.8274,0.2136,0.2136,0.0000,0,498.6,0.0288,0.9785,0.1574
4600,0.7799,0.8323,0.0000,0.8323,0.2188,0.2183,0.0000,0,497.6,0.0315,0.9863,0.1565
4800,0.7792,0.8269,0.0000,0.8269,0.2131,0.2131,0.0000,0,497.2,0.0332,0.9707,0.1593
5000,0.7797,0.8315,0.0000,0.8315,0.2175,0.2175,0.0000,0,498.9,0.0286,0.9844,0.1581
5200,0.7796,0.8293,0.0000,0.8293,0.2168,0.2168,0.0000,0,499.1,0.0283,0.9785,0.1464
5400,0.7803,0.8274,0.0000,0.8274,0.2107,0.2107,0.0000,0,498.7,0.0293,0.9707,0.1572
5600,0.7786,0.8181,0.0000,0.8181,0.2200,0.2195,0.0000,0,498.9,0.0283,0.9805,0.1600
5800,0.7780,0.8169,0.0000,0.8169,0.2275,0.2271,0.0000,0,501.7,0.0225,0.9727,0.1581
6000,0.7786,0.8232,0.0000,0.8232,0.2217,0.2217,0.0000,0,499.6,0.0269,0.9824,0.1623
