epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7786,0.0037,0.0015,0.0022,0.0007,0.0000,0.0002,0,474.0,0.0845,1.0000,0.0400
500,0.7795,0.9321,0.0000,0.9321,0.6907,0.6892,0.0000,0,496.8,0.0308,0.7734,0.0443
1000,0.7792,0.8435,0.0000,0.8435,0.2546,0.2537,0.0000,0,489.4,0.0476,0.9746,0.1439
1500,0.7793,0.8145,0.0000,0.8145,0.2178,0.2166,0.0000,0,496.4,0.0334,0.9746,0.1654
2000,0.7799,0.8352,0.0000,0.8352,0.2212,0.2209,0.0000,0,494.6,0.0376,0.9766,0.1477
2500,0.7795,0.8357,0.0000,0.8357,0.1919,0.1919,0.0000,0,494.4,0.0388,0.9766,0.1468
3000,0.7801,0.8066,0.0000,0.8066,0.2034,0.2034,0.0000,0,498.7,0.0286,0.9844,0.1555
3500,0.7791,0.8167,0.0000,0.8167,0.2588,0.2583,0.0000,0,501.4,0.0239,0.9863,0.1572
4000,0.7798,0.8137,0.0000,0.8137,0.2217,0.2217,0.0000,0,499.5,0.0273,0.9863,0.1644
4500,0.7795,0.8271,0.0000,0.8271,0.2141,0.2141,0.0000,0,500.7,0.0247,0.9668,0.1660
5000,0.7797,0.8315,0.0000,0.8315,0.2175,0.2175,0.0000,0,498.9,0.0286,0.9844,0.1581
5500,0.7792,0.8230,0.0000,0.8230,0.2195,0.2192,0.0000,0,497.8,0.0308,0.9746,0.1507
6000,0.7786,0.8232,0.0000,0.8232,0.2217,0.2217,0.0000,0,499.6,0.0269,0.9824,0.1623
6500,0.7802,0.8240,0.0000,0.8240,0.2246,0.2236,0.0000,0,501.2,0.0237,0.9766,0.1573
7000,0.7790,0.8213,0.0000,0.8213,0.2188,0.2185,0.0000,0,500.0,0.0251,0.9766,0.1606
7500,0.7798,0.8311,0.0000,0.8311,0.2234,0.2234,0.0000,0,500.3,0.0254,0.9766,0.1528
8000,0.7791,0.8181,0.0000,0.8181,0.2197,0.2195,0.0000,0,498.8,0.0288,0.9844,0.1608
8500,0.7797,0.8162,0.0000,0.8162,0.2222,0.2217,0.0000,0,500.4,0.0251,0.9863,0.1667
9000,0.7783,0.8184,0.0000,0.8184,0.2156,0.2151,0.0000,0,497.7,0.0310,0.9727,0.1596
9500,0.7790,0.8210,0.0000,0.8210,0.2107,0.2107,0.0000,0,501.0,0.0247,0.9746,0.1634
10000,0.7798,0.8186,0.0000,0.8186,0.2144,0.2139,0.0000,0,500.7,0.0256,0.9746,0.1601
10500,0.7786,0.8167,0.0000,0.8167,0.2205,0.2200,0.0000,0,500.6,0.0249,0.9707,0.1631
11000,0.7789,0.8171,0.0000,0.8171,0.2258,0.2258,0.0000,0,497.2,0.0317,0.9844,0.1566
11500,0.7800,0.8284,0.0000,0.8284,0.2236,0.2231,0.0000,0,499.3,0.0288,0.9805,0.1566
12000,0.7791,0.8250,0.0000,0.8250,0.2214,0.2209,0.0000,0,501.7,0.0239,0.9844,0.1631
12500,0.7794,0.8208,0.0000,0.8208,0.2214,0.2209,0.0000,0,500.0,0.0273,0.9883,0.1634
13000,0.7797,0.8286,0.0000,0.8286,0.2202,0.2202,0.0000,0,497.6,0.0305,0.9688,0.1586
13500,0.7795,0.8203,0.0000,0.8203,0.2290,0.2290,0.0000,0,499.1,0.0276,0.9805,0.1624
14000,0.7794,0.8362,0.0000,0.8362,0.2217,0.2209,0.0000,0,498.3,0.0291,0.9844,0.1505
14500,0.7796,0.8174,0.0000,0.8174,0.2214,0.2212,0.0000,0,499.0,0.0283,0.9727,0.1640
