epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7786,0.5247,0.4568,0.1189,0.0000,0.0000,0.0002,0,42.5,0.9509,1.0000,0.0077
500,0.7795,0.1296,0.0964,0.0400,0.0000,0.0000,0.0000,0,25.8,0.9663,1.0000,0.0761
1000,0.7792,0.1296,0.0930,0.0425,0.0000,0.0000,0.0000,0,25.7,0.9670,1.0000,0.0758
1500,0.7793,0.1265,0.0935,0.0405,0.0000,0.0000,0.0002,0,23.8,0.9685,1.0000,0.0735
2000,0.7799,0.1311,0.0925,0.0420,0.0000,0.0000,0.0000,0,26.3,0.9629,1.0000,0.0763
2500,0.7795,0.1272,0.0933,0.0403,0.0000,0.0000,0.0002,0,22.8,0.9695,1.0000,0.0772
3000,0.7801,0.1255,0.0911,0.0403,0.0000,0.0000,0.0000,0,25.8,0.9648,1.0000,0.0745
3500,0.7791,0.1270,0.0908,0.0408,0.0000,0.0000,0.0000,0,25.9,0.9661,1.0000,0.0775
4000,0.7798,0.1382,0.1006,0.0452,0.0000,0.0000,0.0000,0,28.4,0.9602,1.0000,0.0746
4500,0.7795,0.1238,0.0857,0.0427,0.0000,0.0000,0.0002,0,27.1,0.9629,1.0000,0.0745
5000,0.7797,0.1257,0.0906,0.0398,0.0000,0.0000,0.0000,0,22.6,0.9702,1.0000,0.0731
5500,0.7792,0.1304,0.0964,0.0393,0.0000,0.0000,0.0002,0,27.9,0.9622,1.0000,0.0753
6000,0.7786,0.1245,0.0928,0.0374,0.0000,0.0000,0.0002,0,26.4,0.9653,1.0000,0.0746
6500,0.7802,0.1365,0.0986,0.0447,0.0000,0.0000,0.0000,0,26.1,0.9651,1.0000,0.0751
7000,0.7790,0.1331,0.0984,0.0410,0.0000,0.0000,0.0000,0,26.0,0.9651,1.0000,0.0752
7500,0.7798,0.1304,0.0933,0.0422,0.0000,0.0000,0.0005,0,24.9,0.9668,1.0000,0.0753
8000,0.7791,0.1323,0.0940,0.0427,0.0000,0.0000,0.0000,0,27.1,0.9631,1.0000,0.0745
8500,0.7797,0.1472,0.1028,0.0498,0.0000,0.0000,0.0000,0,24.8,0.9668,1.0000,0.0744
9000,0.7783,0.1340,0.0969,0.0422,0.0000,0.0000,0.0000,0,25.3,0.9668,1.0000,0.0741
9500,0.7790,0.1353,0.1006,0.0398,0.0000,0.0000,0.0000,0,26.3,0.9648,1.0000,0.0759
