epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.4993,0.4395,0.1082,0.0017,0.0017,0.0000,0,41.8,0.9534,1.0000,0.0153
1000,0.7788,0.9939,0.9939,0.0142,0.9463,0.9463,0.0000,0,132.8,0.9861,0.9980,0.4471
2000,0.7811,0.9932,0.9932,0.0227,0.9253,0.9253,0.0000,0,136.6,0.9888,1.0000,0.3224
3000,0.7756,0.9932,0.9922,0.0791,0.9158,0.9158,0.0000,0,167.0,0.9319,1.0000,0.2287
4000,0.7794,0.9956,0.9956,0.1499,0.8655,0.8655,0.0000,0,153.1,0.9617,0.9980,0.1730
5000,0.7783,0.9932,0.9932,0.0510,0.8516,0.8516,0.0000,0,180.0,0.9167,0.9980,0.1576
6000,0.7775,0.9927,0.9927,0.0618,0.7524,0.7522,0.0000,0,191.2,0.8945,0.9961,0.1401
7000,0.7784,0.9927,0.9924,0.0547,0.6506,0.6504,0.0000,0,171.8,0.8860,1.0000,0.1294
8000,0.7844,0.9958,0.9956,0.0237,0.5566,0.5566,0.0000,0,190.5,0.8171,1.0000,0.1151
9000,0.7719,0.9944,0.9944,0.0032,0.3682,0.3682,0.0000,0,202.6,0.7676,0.9980,0.1024
10000,0.7816,0.9917,0.9917,0.0132,0.5215,0.5215,0.0000,0,213.8,0.7605,0.9980,0.0998
11000,0.7836,0.9958,0.9958,0.0344,0.6167,0.6162,0.0000,0,242.5,0.7234,1.0000,0.0880
12000,0.7823,0.9924,0.9919,0.0647,0.6907,0.6907,0.0000,0,212.8,0.7988,0.9980,0.0854
13000,0.7777,0.9937,0.9934,0.1042,0.8184,0.8181,0.0000,0,177.0,0.8916,0.9980,0.0856
14000,0.7820,0.9956,0.9956,0.0823,0.7708,0.7708,0.0000,0,204.9,0.8359,1.0000,0.0735
15000,0.7812,0.9949,0.9941,0.0989,0.8052,0.8052,0.0000,0,236.6,0.7388,0.9961,0.0813
