epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.0034,0.0017,0.0017,0.0000,0.0000,0.0000,0,477.1,0.0776,1.0000,0.0330
1000,0.7788,0.0002,0.0000,0.0002,0.0007,0.0000,0.0000,0,490.7,0.0483,0.9961,0.4025
2000,0.7811,0.0002,0.0000,0.0002,0.0010,0.0000,0.0000,0,489.5,0.0505,0.9961,0.4047
3000,0.7756,0.8586,0.0000,0.8586,0.6248,0.6248,0.0000,0,499.2,0.0264,0.6094,0.0634
4000,0.7794,0.7356,0.0000,0.7356,0.2329,0.2327,0.0000,0,495.7,0.0359,0.9473,0.0879
5000,0.7783,0.8699,0.0000,0.8699,0.2012,0.1990,0.0000,0,490.1,0.0474,0.9707,0.0996
6000,0.7775,0.8533,0.0000,0.8533,0.1597,0.1592,0.0000,0,493.1,0.0413,0.9824,0.1230
7000,0.7784,0.8423,0.0000,0.8423,0.1250,0.1245,0.0000,0,497.8,0.0320,0.9844,0.1246
8000,0.7844,0.8354,0.0000,0.8354,0.1318,0.1311,0.0000,0,499.7,0.0291,0.9844,0.1226
9000,0.7719,0.8442,0.0000,0.8442,0.1357,0.1348,0.0000,0,498.7,0.0330,0.9688,0.1186
10000,0.7816,0.8428,0.0000,0.8428,0.1147,0.1143,0.0000,0,501.7,0.0237,0.9883,0.1255
11000,0.7836,0.8481,0.0000,0.8481,0.1260,0.1250,0.0000,0,502.3,0.0232,0.9863,0.1201
12000,0.7823,0.8450,0.0000,0.8450,0.1396,0.1389,0.0000,0,497.7,0.0320,0.9844,0.1277
13000,0.7777,0.8481,0.0000,0.8481,0.1316,0.1311,0.0000,0,501.4,0.0234,0.9902,0.1200
14000,0.7820,0.8372,0.0000,0.8372,0.1326,0.1321,0.0000,0,497.9,0.0317,0.9941,0.1216
15000,0.7812,0.8452,0.0000,0.8452,0.1262,0.1262,0.0000,0,503.4,0.0208,0.9922,0.1282
16000,0.7747,0.8484,0.0000,0.8484,0.1235,0.1228,0.0000,0,500.2,0.0281,0.9863,0.1217
17000,0.7843,0.8401,0.0000,0.8401,0.1326,0.1309,0.0000,0,500.2,0.0271,0.9863,0.1324
18000,0.7792,0.8220,0.0000,0.8220,0.1892,0.1880,0.0000,0,501.9,0.0229,0.9863,0.1542
19000,0.7766,0.8274,0.0000,0.8274,0.2827,0.2817,0.0000,0,500.7,0.0249,0.9727,0.1589
20000,0.7748,0.8235,0.0000,0.8235,0.2432,0.2427,0.0000,0,499.5,0.0276,0.9805,0.1560
21000,0.7782,0.8494,0.0000,0.8494,0.2385,0.2378,0.0000,0,498.1,0.0300,0.9688,0.1380
22000,0.7825,0.8381,0.0000,0.8381,0.2207,0.2207,0.0000,0,495.3,0.0359,0.9746,0.1434
23000,0.7831,0.8406,0.0000,0.8406,0.2512,0.2510,0.0000,0,497.6,0.0315,0.9766,0.1491
24000,0.7806,0.8501,0.0000,0.8501,0.2129,0.2129,0.0000,0,493.9,0.0378,0.9727,0.1342
25000,0.7810,0.8521,0.0000,0.8521,0.2275,0.2275,0.0000,0,497.4,0.0303,0.9785,0.1400
26000,0.7772,0.8391,0.0000,0.8391,0.1868,0.1868,0.0000,0,500.0,0.0254,0.9844,0.1439
27000,0.7776,0.8401,0.0002,0.8401,0.2000,0.2000,0.0000,0,501.9,0.0212,0.9863,0.1344
28000,0.7830,0.8345,0.0000,0.8345,0.1794,0.1794,0.0000,0,502.9,0.0188,0.9883,0.1351
29000,0.7799,0.8259,0.0000,0.8259,0.1543,0.1538,0.0000,0,502.6,0.0198,0.9844,0.1320
30000,0.7784,0.8406,0.0000,0.8406,0.1655,0.1653,0.0000,0,501.7,0.0210,0.9883,0.1240
31000,0.7822,0.8306,0.0000,0.8306,0.1655,0.1655,0.0000,0,501.9,0.0210,0.9863,0.1234
32000,0.7754,0.8506,0.0000,0.8506,0.1875,0.1873,0.0000,0,501.2,0.0220,0.9883,0.1185
33000,0.7815,0.8372,0.0000,0.8372,0.1824,0.1819,0.0000,0,502.4,0.0203,0.9922,0.1226
34000,0.7783,0.8267,0.0000,0.8267,0.1667,0.1663,0.0000,0,504.8,0.0146,0.9863,0.1218
35000,0.7769,0.8193,0.0000,0.8193,0.1467,0.1467,0.0000,0,502.5,0.0198,0.9902,0.1186
36000,0.7828,0.8259,0.0000,0.8259,0.1687,0.1685,0.0000,0,500.6,0.0232,0.9902,0.1194
37000,0.7772,0.8279,0.0000,0.8279,0.1716,0.1716,0.0000,0,500.0,0.0242,0.9805,0.1181
38000,0.7776,0.8140,0.0000,0.8140,0.1438,0.1438,0.0000,0,501.5,0.0217,0.9883,0.1238
