epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7767,0.000000,0.0039,0.006287,5.193,24
50,0.7780,0.000000,0.0039,0.006348,5.188,24
100,0.7791,0.000000,0.0039,0.006470,5.186,24
150,0.7783,0.000000,0.0038,0.006714,5.190,22
200,0.7793,0.000000,0.0038,0.006653,5.188,22
250,0.7781,0.000000,0.0038,0.005981,5.189,22
300,0.7764,0.000000,0.0038,0.006042,5.195,22
350,0.7760,0.000000,0.0038,0.006042,5.194,22
400,0.7792,0.000000,0.0039,0.006470,5.201,24
450,0.7797,0.000000,0.0039,0.006165,5.205,24
500,0.7784,0.000000,0.0039,0.006775,5.210,24
550,0.7812,0.000000,0.0039,0.006165,5.193,24
600,0.7804,0.000000,0.0039,0.006653,5.186,22
650,0.7822,0.000000,0.0039,0.006409,5.185,22
700,0.7781,0.000000,0.0039,0.006348,5.177,24
750,0.7795,0.000000,0.0038,0.005981,5.179,22
800,0.7810,0.000000,0.0039,0.006531,5.181,23
850,0.7843,0.000000,0.0039,0.006042,5.178,23
900,0.7809,0.000000,0.0039,0.005981,5.182,23
950,0.7793,0.000000,0.0039,0.005859,5.178,22
1000,0.7788,0.000000,0.0039,0.006165,5.175,22
1050,0.7832,0.000000,0.0039,0.006226,5.183,22
1100,0.7764,0.000000,0.0039,0.006104,5.178,22
1150,0.7766,0.000000,0.0039,0.005432,5.188,24
1200,0.7764,0.000000,0.0039,0.005066,5.187,24
1250,0.7787,0.000000,0.0039,0.005371,5.192,24
1300,0.7786,0.000000,0.0039,0.005188,5.190,24
1350,0.7822,0.000000,0.0039,0.005249,5.193,24
1400,0.7762,0.000000,0.0039,0.005127,5.193,24
1450,0.7815,0.000000,0.0039,0.005310,5.201,26
1500,0.7794,0.000000,0.0039,0.005432,5.192,28
1550,0.7800,0.000000,0.0039,0.005432,5.192,28
1600,0.7806,0.000000,0.0039,0.005737,5.189,28
1650,0.7770,0.000000,0.0039,0.005615,5.184,28
1700,0.7794,0.000000,0.0039,0.005493,5.187,28
1750,0.7775,0.000000,0.0039,0.005676,5.190,28
1800,0.7836,0.000000,0.0039,0.005676,5.188,28
1850,0.7732,0.000000,0.0039,0.006104,5.201,28
1900,0.7784,0.000000,0.0039,0.006165,5.200,28
1950,0.7832,0.000000,0.0039,0.005676,5.188,28
2000,0.7811,0.000000,0.0039,0.005920,5.180,28
2050,0.7780,0.000000,0.0039,0.005859,5.186,28
2100,0.7778,0.000000,0.0039,0.005615,5.192,28
2150,0.7775,0.000000,0.0039,0.004883,5.183,28
2200,0.7780,0.000000,0.0039,0.005127,5.175,26
2250,0.7802,0.000000,0.0039,0.005066,5.175,26
2300,0.7761,0.000000,0.0039,0.005249,5.183,24
2350,0.7766,0.000000,0.0039,0.004883,5.163,24
2400,0.7765,0.000000,0.0039,0.005066,5.169,24
2450,0.7811,0.000000,0.0039,0.005310,5.173,24
2500,0.7762,0.000000,0.0040,0.005127,5.182,24
2550,0.7799,0.000000,0.0040,0.005310,5.177,22
2600,0.7786,0.000000,0.0039,0.004822,5.192,22
