epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7767,0.000000,0.0039,0.006592,5.236,24
1,0.7788,0.000000,0.0039,0.007141,5.295,24
2,0.7780,0.000000,0.0039,0.007874,5.359,24
3,0.7789,0.000000,0.0038,0.008484,5.427,24
4,0.7753,0.000000,0.0038,0.009583,5.493,28
5,0.7806,0.000000,0.0038,0.011047,5.543,28
6,0.7778,0.000000,0.0038,0.012207,5.610,28
7,0.7756,0.000000,0.0038,0.013733,5.687,28
8,0.7754,0.000000,0.0038,0.015137,5.761,28
9,0.7799,0.000000,0.0038,0.017456,5.828,28
10,0.7834,0.000000,0.0038,0.020447,5.918,28
11,0.7842,0.000000,0.0038,0.021851,5.987,28
12,0.7827,0.000000,0.0037,0.024780,6.076,28
13,0.7804,0.000000,0.0037,0.028809,6.181,28
14,0.7791,0.000000,0.0037,0.031250,6.284,28
15,0.7803,0.000000,0.0037,0.035828,6.414,28
16,0.7799,0.000000,0.0037,0.041321,6.559,28
17,0.7777,0.000000,0.0037,0.045898,6.668,28
18,0.7783,0.000183,0.0036,0.048889,6.772,32
19,0.7795,0.000122,0.0037,0.053772,6.888,30
20,0.7784,0.000244,0.0037,0.060303,7.036,32
21,0.7784,0.000305,0.0037,0.066223,7.178,32
22,0.7792,0.000244,0.0037,0.074280,7.330,32
23,0.7811,0.000366,0.0037,0.080994,7.483,32
24,0.7781,0.000671,0.0037,0.089600,7.669,32
25,0.7773,0.000793,0.0037,0.099182,7.870,32
26,0.7782,0.000916,0.0036,0.107910,8.084,32
27,0.7803,0.001160,0.0037,0.119202,8.322,32
28,0.7827,0.001282,0.0036,0.129822,8.572,32
29,0.7821,0.001526,0.0036,0.143677,8.831,32
30,0.7754,0.002136,0.0036,0.156189,9.097,32
31,0.7793,0.002991,0.0036,0.171448,9.368,32
32,0.7819,0.004028,0.0035,0.187622,9.711,32
33,0.7770,0.004944,0.0035,0.205078,10.067,32
34,0.7799,0.005920,0.0035,0.221191,10.369,32
35,0.7836,0.007324,0.0034,0.237732,10.682,32
36,0.7793,0.008179,0.0035,0.257690,11.033,32
37,0.7756,0.010376,0.0035,0.278198,11.426,32
38,0.7756,0.011719,0.0035,0.299622,11.825,32
39,0.7769,0.013611,0.0034,0.324341,12.307,32
40,0.7781,0.015381,0.0034,0.341614,12.673,32
41,0.7775,0.017334,0.0034,0.364319,13.114,32
42,0.7802,0.019714,0.0033,0.383362,13.504,32
43,0.7776,0.023865,0.0033,0.405151,13.972,32
44,0.7725,0.028992,0.0032,0.426697,14.453,32
45,0.7726,0.033203,0.0032,0.450500,14.959,32
46,0.7791,0.038147,0.0031,0.470764,15.443,32
47,0.7798,0.046265,0.0031,0.492004,15.970,32
48,0.7793,0.053711,0.0030,0.514893,16.511,32
49,0.7806,0.061829,0.0029,0.536255,17.049,32
50,0.7780,0.067932,0.0029,0.562683,17.567,32
51,0.7811,0.074463,0.0028,0.582886,18.081,32
52,0.7809,0.085327,0.0028,0.599792,18.644,32
53,0.7782,0.094666,0.0027,0.615967,19.149,32
54,0.7784,0.104492,0.0027,0.631592,19.650,32
55,0.7806,0.117920,0.0027,0.644165,20.160,32
56,0.7791,0.129517,0.0027,0.654480,20.617,32
57,0.7821,0.141602,0.0027,0.665833,21.135,32
58,0.7795,0.157166,0.0026,0.672424,21.678,32
59,0.7806,0.172852,0.0026,0.677490,22.164,32
60,0.7794,0.190552,0.0025,0.677063,22.626,32
61,0.7814,0.206848,0.0024,0.677856,23.061,32
62,0.7844,0.223083,0.0025,0.675354,23.485,32
63,0.7804,0.238831,0.0025,0.673340,23.871,32
64,0.7783,0.259277,0.0024,0.664917,24.273,32
65,0.7815,0.277222,0.0024,0.657410,24.614,32
66,0.7781,0.297913,0.0023,0.645447,24.988,32
67,0.7804,0.317993,0.0023,0.634338,25.367,32
68,0.7778,0.337769,0.0022,0.621155,25.678,32
69,0.7772,0.353210,0.0022,0.611145,25.932,32
70,0.7795,0.376038,0.0022,0.592651,26.236,32
71,0.7745,0.397705,0.0022,0.574158,26.505,32
72,0.7780,0.414795,0.0021,0.559998,26.734,32
73,0.7778,0.434814,0.0020,0.543640,26.952,32
74,0.7817,0.452454,0.0020,0.529968,27.184,32
75,0.7782,0.469177,0.0020,0.514954,27.386,32
76,0.7770,0.485718,0.0020,0.500305,27.581,32
77,0.7841,0.504395,0.0020,0.483093,27.734,32
78,0.7748,0.519470,0.0019,0.469116,27.902,32
79,0.7773,0.530334,0.0019,0.459717,28.029,32
80,0.7808,0.547974,0.0019,0.443298,28.202,32
81,0.7766,0.564331,0.0019,0.426941,28.358,32
82,0.7820,0.574707,0.0019,0.417847,28.470,32
83,0.7762,0.583618,0.0019,0.409180,28.553,32
84,0.7836,0.596436,0.0020,0.397217,28.640,32
85,0.7830,0.607605,0.0020,0.386902,28.746,32
86,0.7780,0.622681,0.0020,0.372742,28.876,32
87,0.7781,0.630005,0.0020,0.365356,28.918,32
88,0.7834,0.638306,0.0021,0.357788,28.987,32
89,0.7883,0.646545,0.0021,0.349609,29.060,32
90,0.7826,0.655334,0.0021,0.340454,29.095,32
91,0.7821,0.665222,0.0021,0.331360,29.192,32
92,0.7775,0.671021,0.0021,0.325562,29.240,32
93,0.7782,0.673767,0.0021,0.323303,29.284,32
94,0.7765,0.680786,0.0022,0.316284,29.337,32
95,0.7837,0.685120,0.0021,0.311646,29.378,32
96,0.7784,0.690613,0.0021,0.306641,29.429,32
97,0.7809,0.696655,0.0021,0.300659,29.445,32
98,0.7793,0.701599,0.0021,0.295837,29.480,32
99,0.7799,0.703125,0.0021,0.293823,29.487,32
100,0.7791,0.707825,0.0021,0.289368,29.524,32
101,0.7782,0.714661,0.0020,0.282654,29.597,32
102,0.7758,0.717834,0.0020,0.279541,29.628,32
103,0.7794,0.726318,0.0020,0.271118,29.680,32
104,0.7798,0.732056,0.0020,0.265015,29.714,32
105,0.7814,0.736755,0.0019,0.260193,29.748,32
106,0.7766,0.740234,0.0020,0.256958,29.778,32
107,0.7811,0.744263,0.0019,0.253174,29.803,32
108,0.7769,0.745972,0.0020,0.250977,29.811,32
109,0.7793,0.750488,0.0020,0.246582,29.834,32
110,0.7821,0.753113,0.0021,0.244385,29.853,32
111,0.7816,0.760376,0.0021,0.237000,29.897,32
112,0.7782,0.757996,0.0021,0.239563,29.884,32
113,0.7744,0.756836,0.0021,0.241150,29.882,32
114,0.7784,0.760437,0.0020,0.237732,29.911,32
115,0.7811,0.764709,0.0020,0.233398,29.926,32
116,0.7822,0.770813,0.0020,0.227234,29.982,32
117,0.7771,0.773193,0.0021,0.224609,29.992,32
118,0.7822,0.776306,0.0021,0.221558,30.000,32
119,0.7820,0.777100,0.0021,0.220825,30.005,32
120,0.7762,0.777893,0.0021,0.219910,30.018,32
121,0.7762,0.779175,0.0021,0.218201,30.026,32
122,0.7827,0.780457,0.0022,0.217041,30.029,32
123,0.7827,0.784607,0.0022,0.213440,30.083,32
124,0.7805,0.787231,0.0022,0.211060,30.104,32
125,0.7769,0.787170,0.0021,0.211304,30.122,32
126,0.7800,0.789551,0.0021,0.209412,30.148,32
127,0.7802,0.787842,0.0021,0.210938,30.138,32
128,0.7777,0.787537,0.0020,0.210999,30.143,32
129,0.7827,0.787598,0.0020,0.210449,30.142,32
130,0.7828,0.787659,0.0021,0.210754,30.156,32
131,0.7789,0.791809,0.0021,0.206848,30.191,32
132,0.7748,0.789795,0.0021,0.208679,30.184,32
133,0.7753,0.792114,0.0021,0.206238,30.190,32
134,0.7772,0.790100,0.0020,0.208191,30.164,32
135,0.7802,0.790161,0.0020,0.208130,30.183,32
136,0.7762,0.787109,0.0020,0.211182,30.169,32
137,0.7808,0.792542,0.0021,0.205872,30.197,32
138,0.7743,0.793152,0.0021,0.204590,30.200,32
139,0.7804,0.793213,0.0022,0.204407,30.200,32
140,0.7794,0.793945,0.0021,0.203979,30.221,32
