epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7767,0.000000,0.0039,0.006287,5.191,24
50,0.7780,0.000000,0.0039,0.006287,5.191,24
100,0.7791,0.000000,0.0039,0.006287,5.191,24
150,0.7783,0.000000,0.0039,0.006287,5.191,24
200,0.7793,0.000000,0.0039,0.006287,5.191,24
250,0.7781,0.000000,0.0039,0.006287,5.191,24
300,0.7764,0.000000,0.0039,0.006287,5.191,24
350,0.7760,0.000000,0.0039,0.006287,5.191,24
400,0.7792,0.000000,0.0039,0.006287,5.191,24
450,0.7797,0.000000,0.0039,0.006287,5.191,24
500,0.7784,0.000000,0.0039,0.006287,5.191,24
550,0.7812,0.000000,0.0039,0.006287,5.191,24
600,0.7804,0.000000,0.0039,0.006287,5.191,24
650,0.7822,0.000000,0.0039,0.006287,5.191,24
700,0.7781,0.000000,0.0039,0.006287,5.191,24
750,0.7795,0.000000,0.0039,0.006287,5.191,24
800,0.7810,0.000000,0.0039,0.006287,5.191,24
850,0.7843,0.000000,0.0039,0.006287,5.191,24
900,0.7809,0.000000,0.0039,0.006287,5.191,24
950,0.7793,0.000000,0.0039,0.006287,5.191,24
1000,0.7788,0.000000,0.0039,0.006287,5.191,24
1050,0.7832,0.000000,0.0039,0.006287,5.191,24
1100,0.7764,0.000000,0.0039,0.006287,5.191,24
1150,0.7766,0.000000,0.0039,0.006287,5.191,24
1200,0.7764,0.000000,0.0039,0.006287,5.191,24
1250,0.7787,0.000000,0.0039,0.006287,5.191,24
1300,0.7786,0.000000,0.0039,0.006287,5.191,24
1350,0.7822,0.000000,0.0039,0.006287,5.191,24
1400,0.7762,0.000000,0.0039,0.006287,5.191,24
1450,0.7815,0.000000,0.0039,0.006287,5.191,24
1500,0.7794,0.000000,0.0039,0.006287,5.191,24
1550,0.7800,0.000000,0.0039,0.006287,5.191,24
1600,0.7806,0.000000,0.0039,0.006287,5.191,24
1650,0.7770,0.000000,0.0039,0.006287,5.191,24
1700,0.7794,0.000000,0.0039,0.006287,5.191,24
1750,0.7775,0.000000,0.0039,0.006287,5.191,24
1800,0.7836,0.000000,0.0039,0.006287,5.191,24
1850,0.7732,0.000000,0.0039,0.006287,5.191,24
1900,0.7784,0.000000,0.0039,0.006287,5.191,24
1950,0.7832,0.000000,0.0039,0.006287,5.191,24
2000,0.7811,0.000000,0.0039,0.006287,5.191,24
2050,0.7780,0.000000,0.0039,0.006287,5.191,24
2100,0.7778,0.000000,0.0039,0.006287,5.191,24
2150,0.7775,0.000000,0.0039,0.006287,5.191,24
2200,0.7780,0.000000,0.0039,0.006287,5.191,24
2250,0.7802,0.000000,0.0039,0.006287,5.191,24
2300,0.7761,0.000000,0.0039,0.006287,5.191,24
2350,0.7766,0.000000,0.0039,0.006287,5.191,24
2400,0.7765,0.000000,0.0039,0.006287,5.191,24
2450,0.7811,0.000000,0.0039,0.006287,5.191,24
2500,0.7762,0.000000,0.0039,0.006287,5.191,24
2550,0.7799,0.000000,0.0039,0.006287,5.191,24
2600,0.7786,0.000000,0.0039,0.006287,5.191,24
2650,0.7843,0.000000,0.0039,0.006287,5.191,24
2700,0.7838,0.000000,0.0039,0.006287,5.191,24
2750,0.7820,0.000000,0.0039,0.006287,5.191,24
2800,0.7832,0.000000,0.0039,0.006287,5.191,24
2850,0.7797,0.000000,0.0039,0.006287,5.191,24
2900,0.7809,0.000000,0.0039,0.006287,5.191,24
2950,0.7776,0.000000,0.0039,0.006287,5.191,24
3000,0.7756,0.000000,0.0039,0.006287,5.191,24
3050,0.7848,0.000000,0.0039,0.006287,5.191,24
3100,0.7797,0.000000,0.0039,0.006287,5.191,24
3150,0.7805,0.000000,0.0039,0.006287,5.191,24
3200,0.7784,0.000000,0.0039,0.006287,5.191,24
3250,0.7814,0.000000,0.0039,0.006287,5.191,24
3300,0.7844,0.000000,0.0039,0.006287,5.191,24
3350,0.7769,0.000000,0.0039,0.006287,5.191,24
3400,0.7745,0.000000,0.0039,0.006287,5.191,24
3450,0.7795,0.000000,0.0039,0.006287,5.191,24
3500,0.7826,0.000000,0.0039,0.006287,5.191,24
3550,0.7762,0.000000,0.0039,0.006287,5.191,24
3600,0.7761,0.000000,0.0039,0.006287,5.191,24
3650,0.7769,0.000000,0.0039,0.006287,5.191,24
3700,0.7838,0.000000,0.0039,0.006287,5.191,24
3750,0.7847,0.000000,0.0039,0.006287,5.191,24
3800,0.7747,0.000000,0.0039,0.006287,5.191,24
3850,0.7800,0.000000,0.0039,0.006287,5.191,24
3900,0.7831,0.000000,0.0039,0.006287,5.191,24
3950,0.7740,0.000000,0.0039,0.006287,5.191,24
4000,0.7794,0.000000,0.0039,0.006287,5.191,24
4050,0.7798,0.000000,0.0039,0.006287,5.191,24
4100,0.7710,0.000000,0.0039,0.006287,5.191,24
4150,0.7804,0.000000,0.0039,0.006287,5.191,24
4200,0.7798,0.000000,0.0039,0.006287,5.191,24
4250,0.7780,0.000000,0.0039,0.006287,5.191,24
4300,0.7784,0.000000,0.0039,0.006287,5.191,24
4350,0.7822,0.000000,0.0039,0.006287,5.191,24
4400,0.7816,0.000000,0.0039,0.006287,5.191,24
4450,0.7789,0.000000,0.0039,0.006287,5.191,24
4500,0.7810,0.000000,0.0039,0.006287,5.191,24
4550,0.7833,0.000000,0.0039,0.006287,5.191,24
4600,0.7811,0.000000,0.0039,0.006287,5.191,24
4650,0.7791,0.000000,0.0039,0.006287,5.191,24
4700,0.7855,0.000000,0.0039,0.006287,5.191,24
4750,0.7826,0.000000,0.0039,0.006287,5.191,24
4800,0.7727,0.000000,0.0039,0.006287,5.191,24
4850,0.7816,0.000000,0.0039,0.006287,5.191,24
4900,0.7762,0.000000,0.0039,0.006287,5.191,24
4950,0.7781,0.000000,0.0039,0.006287,5.191,24
5000,0.7783,0.000000,0.0039,0.006287,5.191,24
5050,0.7769,0.000000,0.0039,0.006287,5.191,24
5100,0.7767,0.000000,0.0039,0.006287,5.191,24
5150,0.7819,0.000000,0.0039,0.006287,5.191,24
5200,0.7808,0.000000,0.0039,0.006287,5.191,24
5250,0.7739,0.000000,0.0039,0.006287,5.191,24
5300,0.7732,0.000000,0.0039,0.006287,5.191,24
5350,0.7821,0.000000,0.0039,0.006287,5.191,24
5400,0.7808,0.000000,0.0039,0.006287,5.191,24
5450,0.7783,0.000000,0.0039,0.006287,5.191,24
5500,0.7845,0.000000,0.0039,0.006287,5.191,24
5550,0.7843,0.000000,0.0039,0.006287,5.191,24
5600,0.7805,0.000000,0.0039,0.006287,5.191,24
5650,0.7751,0.000000,0.0039,0.006287,5.191,24
5700,0.7736,0.000000,0.0039,0.006287,5.191,24
5750,0.7765,0.000000,0.0039,0.006287,5.191,24
5800,0.7777,0.000000,0.0039,0.006287,5.191,24
5850,0.7809,0.000000,0.0039,0.006287,5.191,24
5900,0.7729,0.000000,0.0039,0.006287,5.191,24
5950,0.7781,0.000000,0.0039,0.006287,5.191,24
