epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7806,0.000000,0.0039,0.006287,5.254,24
50,0.7748,0.099304,0.0030,0.581055,18.655,32
100,0.7834,0.719299,0.0020,0.277893,29.522,32
150,0.7815,0.789734,0.0022,0.210083,30.195,32
200,0.7754,0.823486,0.0021,0.176453,30.499,32
250,0.7806,0.827271,0.0021,0.172668,30.534,32
300,0.7809,0.836182,0.0023,0.163818,30.533,32
350,0.7773,0.828796,0.0026,0.171204,30.550,32
400,0.7806,0.819519,0.0028,0.180481,30.469,32
450,0.7778,0.815247,0.0033,0.184753,30.428,32
500,0.7795,0.810303,0.0030,0.189697,30.372,32
550,0.7766,0.826538,0.0026,0.173462,30.520,32
600,0.7827,0.804626,0.0026,0.195374,30.357,32
650,0.7798,0.758301,0.0028,0.241699,30.027,32
