epoch,selected_frac,func_repl_frac,zero_frac
0,0.7806,0.000183,0.0039
10,0.7789,0.004395,0.0039
20,0.7819,0.027649,0.0038
30,0.7823,0.117371,0.0034
40,0.7799,0.327576,0.0029
50,0.7748,0.576294,0.0026
60,0.7760,0.720093,0.0021
70,0.7814,0.782288,0.0017
80,0.7812,0.819092,0.0018
90,0.7838,0.840881,0.0019
100,0.7834,0.846680,0.0021
110,0.7753,0.847839,0.0020
120,0.7765,0.853760,0.0019
130,0.7799,0.857361,0.0017
140,0.7789,0.860474,0.0017
150,0.7815,0.867493,0.0018
160,0.7809,0.874451,0.0017
170,0.7805,0.886230,0.0015
180,0.7767,0.887756,0.0016
190,0.7792,0.883484,0.0017
200,0.7754,0.887085,0.0016
210,0.7788,0.893555,0.0018
220,0.7789,0.891418,0.0019
230,0.7761,0.892212,0.0019
240,0.7788,0.898804,0.0020
250,0.7806,0.895020,0.0021
260,0.7797,0.894653,0.0022
270,0.7760,0.901672,0.0023
280,0.7842,0.908020,0.0025
290,0.7825,0.907654,0.0026
300,0.7809,0.916260,0.0027
310,0.7792,0.918091,0.0026
320,0.7864,0.918518,0.0024
330,0.7808,0.919739,0.0024
340,0.7747,0.924744,0.0023
350,0.7773,0.926758,0.0023
360,0.7784,0.935425,0.0023
370,0.7770,0.941345,0.0023
380,0.7830,0.936096,0.0025
390,0.7793,0.938416,0.0025
400,0.7806,0.933472,0.0024
410,0.7777,0.936951,0.0024
420,0.7852,0.943115,0.0024
430,0.7758,0.947632,0.0025
440,0.7822,0.944275,0.0024
450,0.7778,0.946716,0.0023
460,0.7733,0.947021,0.0024
470,0.7832,0.943787,0.0027
480,0.7781,0.952881,0.0029
490,0.7770,0.947266,0.0031
500,0.7795,0.950684,0.0030
510,0.7816,0.956299,0.0032
520,0.7837,0.955505,0.0031
530,0.7784,0.953491,0.0033
540,0.7838,0.951416,0.0030
550,0.7766,0.951050,0.0032
560,0.7847,0.953552,0.0032
570,0.7795,0.952576,0.0033
580,0.7820,0.959717,0.0034
590,0.7828,0.962463,0.0035
600,0.7827,0.959534,0.0037
610,0.7780,0.953186,0.0035
620,0.7806,0.953857,0.0032
630,0.7789,0.954285,0.0032
640,0.7797,0.955566,0.0033
650,0.7798,0.957764,0.0033
660,0.7821,0.955078,0.0033
670,0.7819,0.950745,0.0035
680,0.7756,0.952698,0.0031
690,0.7775,0.951172,0.0032
700,0.7827,0.950989,0.0035
710,0.7832,0.962769,0.0032
720,0.7783,0.961182,0.0033
730,0.7770,0.960754,0.0032
740,0.7775,0.955078,0.0036
750,0.7780,0.950928,0.0034
760,0.7832,0.957153,0.0035
770,0.7758,0.949219,0.0032
780,0.7797,0.952087,0.0032
790,0.7806,0.952515,0.0033
800,0.7767,0.948914,0.0033
810,0.7766,0.937805,0.0033
820,0.7814,0.944397,0.0035
830,0.7799,0.939392,0.0035
