epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.4993,0.4390,0.1086,0.0017,0.0017,0.0000,0,41.9,0.9534,1.0000,0.0153
300,0.7764,0.9775,0.9775,0.0359,0.8135,0.8135,0.0000,0,113.1,0.9934,1.0000,0.4894
600,0.7804,0.9761,0.9756,0.0696,0.8445,0.8445,0.0000,0,129.0,0.9922,0.9980,0.3895
900,0.7809,0.9856,0.9849,0.1294,0.7649,0.7649,0.0000,0,166.4,0.9829,0.9980,0.3279
1200,0.7764,0.9805,0.9805,0.0833,0.6338,0.6338,0.0000,0,193.5,0.9712,1.0000,0.2795
1500,0.7794,0.9841,0.9839,0.1196,0.5913,0.5911,0.0000,0,197.8,0.9551,0.9980,0.2521
1800,0.7836,0.9841,0.9839,0.0894,0.5774,0.5767,0.0000,0,215.5,0.8999,1.0000,0.2203
2100,0.7778,0.9854,0.9854,0.0789,0.4370,0.4348,0.0000,0,240.1,0.8618,1.0000,0.2156
2400,0.7765,0.9829,0.9829,0.0393,0.3489,0.3489,0.0000,0,269.5,0.8315,1.0000,0.1993
2700,0.7838,0.9851,0.9851,0.0613,0.3455,0.3455,0.0000,0,280.6,0.7925,1.0000,0.1800
3000,0.7756,0.9819,0.9819,0.0527,0.2395,0.2395,0.0000,0,296.9,0.7942,1.0000,0.1807
