epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.0049,0.0037,0.0012,0.0029,0.0015,0.0000,0,478.7,0.0735,1.0000,0.1148
1000,0.7788,0.9919,0.9919,0.0000,0.9783,0.9783,0.0000,0,510.9,0.0022,1.0000,0.4808
2000,0.7811,0.9900,0.9900,0.0007,0.9873,0.9873,0.0000,0,510.7,0.0029,1.0000,0.2945
3000,0.7756,0.9907,0.9907,0.0000,0.9858,0.9856,0.0000,0,511.8,0.0007,0.9961,0.1792
4000,0.7794,0.9907,0.9907,0.0000,0.9883,0.9883,0.0000,0,511.9,0.0002,0.9941,0.1182
5000,0.7783,0.9905,0.9905,0.0000,0.9834,0.9834,0.0000,0,511.8,0.0005,0.9883,0.0704
6000,0.7775,0.9929,0.9929,0.0000,0.9885,0.9883,0.0000,0,511.5,0.0010,0.9609,0.0467
7000,0.7784,0.9924,0.9924,0.0095,0.9875,0.9871,0.0000,0,511.3,0.0015,0.9512,0.0356
8000,0.7844,0.9944,0.9944,0.0000,0.9912,0.9912,0.0000,0,511.8,0.0005,0.9609,0.0263
9000,0.7719,0.9941,0.9941,0.0002,0.9885,0.9885,0.0000,0,511.9,0.0002,0.8672,0.0217
10000,0.7816,0.9971,0.9971,0.0000,0.9929,0.9929,0.0000,0,512.0,0.0000,0.8457,0.0144
11000,0.7836,0.9973,0.9973,0.0000,0.9944,0.9944,0.0000,0,512.0,0.0005,0.8184,0.0057
12000,0.7823,0.9993,0.9993,0.0000,0.9963,0.9963,0.0000,0,512.0,0.0000,0.7578,0.0044
13000,0.7777,0.9998,0.9998,0.0000,0.9929,0.9929,0.0000,0,512.0,0.0000,0.6367,0.0024
14000,0.7820,0.9990,0.9990,0.0000,0.9937,0.9937,0.0000,0,512.0,0.0000,0.6777,0.0002
15000,0.7812,0.9995,0.9995,0.0000,0.9932,0.9932,0.0000,0,512.0,0.0000,0.6953,0.0001
